datetime|env_datetime|env_time|agent|action|reason|additional|system_id|system_name|part_id|part_name|system_operating_level|part_operating_level|duration|distance_km|request_id|location|materials_cost|hourly_labor_cost|salary_labor_cost|total_labor_cost|equipment_cost|total_cost
2025-11-26 09:29:31.332867|2017-01-01 00:00:00|0|S00T1|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S00T1|S00T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:31.383098|2017-01-01 00:00:00|0|S00T2|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S00T2|S00T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:31.439085|2017-01-01 00:00:00|0|S00T3|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S00T3|S00T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:31.508242|2017-01-01 00:00:00|0|S00T4|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S00T4|S00T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:31.585319|2017-01-01 00:00:00|0|S00T5|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S00T5|S00T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:31.647116|2017-01-01 00:00:00|0|S01T1|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S01T1|S01T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:31.713329|2017-01-01 00:00:00|0|S01T2|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S01T2|S01T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:31.782350|2017-01-01 00:00:00|0|S01T3|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S01T3|S01T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:31.856430|2017-01-01 00:00:00|0|S01T4|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S01T4|S01T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:31.933120|2017-01-01 00:00:00|0|S01T5|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S01T5|S01T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.007523|2017-01-01 00:00:00|0|S02T1|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S02T1|S02T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.085653|2017-01-01 00:00:00|0|S02T2|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S02T2|S02T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.157200|2017-01-01 00:00:00|0|S02T3|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S02T3|S02T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.240958|2017-01-01 00:00:00|0|S02T4|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S02T4|S02T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.317903|2017-01-01 00:00:00|0|S02T5|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S02T5|S02T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.405812|2017-01-01 00:00:00|0|S03T1|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S03T1|S03T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.480896|2017-01-01 00:00:00|0|S03T2|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S03T2|S03T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.537681|2017-01-01 00:00:00|0|S03T3|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S03T3|S03T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.591691|2017-01-01 00:00:00|0|S03T4|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S03T4|S03T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.641201|2017-01-01 00:00:00|0|S03T5|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S03T5|S03T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.693578|2017-01-01 00:00:00|0|S04T1|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S04T1|S04T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.747194|2017-01-01 00:00:00|0|S04T2|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S04T2|S04T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.805101|2017-01-01 00:00:00|0|S04T3|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S04T3|S04T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.850612|2017-01-01 00:00:00|0|S04T4|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S04T4|S04T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.900031|2017-01-01 00:00:00|0|S04T5|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S04T5|S04T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.944867|2017-01-01 00:00:00|0|S04T6|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S04T6|S04T6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:32.986901|2017-01-01 00:00:00|0|S05T1|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S05T1|S05T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:33.031308|2017-01-01 00:00:00|0|S05T2|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S05T2|S05T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:33.076930|2017-01-01 00:00:00|0|S05T3|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S05T3|S05T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:33.117480|2017-01-01 00:00:00|0|S05T4|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S05T4|S05T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-11-26 09:29:33.170427|2017-01-01 00:00:00|0|S05T5|subassemblies created: ['main_bearing', 'blades', 'controls', 'electrical', 'gearbox', 'generator', 'heat_cool', 'hub', 'oil', 'other', 'pitch', 'power_supply', 'pump_motor', 'relay', 'safety', 'sensors', 'service_items', 'tower_substructure', 'xformer', 'yaw']|windfarm initialization|initialization|S05T5|S05T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
