run,random_seed,year,Large Crane 1,Large Crane 2,Truck 1,Truck 2,Truck 3
1,1,2017,794024.01875,788890.56875,7279.546527777778,7279.492824074074,7279.475694444444
1,1,2018,1348846.8375,472441.30624999997,7299.500462962963,7299.506944444444,7299.51087962963
1,1,2019,1217089.975,457002.5,7299.502314814815,7299.501620370371,7299.527083333333
1,1,2020,431298.14999999997,1393769.81875,7319.518287037037,7319.523842592593,7319.528703703703
1,1,2021,1136416.875,684870.175,7299.5361111111115,7299.5368055555555,7299.55
1,1,2022,825001.25,996286.9375,7299.534027777778,7299.5043981481485,7299.513425925926
1,1,2023,1348967.80625,472319.375,7299.506944444444,7299.532175925926,7299.5363425925925
1,1,2024,1035688.125,642183.125,7319.524305555556,7319.516898148148,7319.528703703703
1,1,2025,1163976.075,510114.60625,7299.53125,7299.544907407408,7299.509953703704
1,1,2026,571824.55,1249462.89375,7299.509953703704,7299.506481481481,7299.507175925926
1,1,2027,1207534.29375,613754.375,7299.533333333334,7299.540509259259,7299.531712962963
1,1,2028,971947.56875,702146.83125,7319.525462962963,7319.5150462962965,7319.512962962963
1,1,2029,632966.09375,1188322.3125,7299.521759259259,7299.512962962963,7299.525462962963
1,1,2030,1143395.39375,677892.1375,7299.503472222223,7299.5155092592595,7299.524305555556
1,1,2031,1220479.85625,453611.175,7299.534953703704,7299.514814814815,7299.5150462962965
1,1,2032,820673.8937499999,1004394.55625,7319.520601851852,7319.502314814815,7319.465277777777
1,1,2033,593633.75,1080459.29375,7299.497222222222,7299.521064814815,7299.528935185185
1,1,2034,457553.75,1216538.94375,7299.546527777778,7299.501851851852,7299.512037037037
1,1,2035,1223503.7,597782.3875,7299.525462962963,7299.549074074074,7299.549305555555
1,1,2036,686200.21875,1138865.5625,7319.509490740741,7319.492361111111,7319.5356481481485
