subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
blades,delay,1,1,0,0,1028699.3502314815,1028699.3502314815
blades,repair,1,1,441263,0,52302.5,493565.5
controls,delay,1,1,0,0,6657.37037037037,6657.37037037037
controls,repair,1,1,562036,0,5688.333333333333,567724.3333333334
electrical,delay,1,1,0,0,25002.726157407407,25002.726157407407
electrical,repair,1,1,251599,0,6516.666666666667,258115.66666666666
gearbox,delay,1,1,0,0,26068004.337962963,26068004.337962963
gearbox,repair,1,1,19098576,0,1825808.3333333333,20924384.333333332
generator,delay,1,1,0,0,5590193.346527778,5590193.346527778
generator,repair,1,1,7041980,0,419919.7916666667,7461899.791666667
heat_cool,delay,1,1,0,0,2095.7520833333333,2095.7520833333333
heat_cool,repair,1,1,296264,0,1641.6666666666667,297905.6666666666
hub,delay,1,1,0,0,1944305.3321759258,1944305.3321759258
hub,repair,1,1,826581,0,192356.6666666667,1018937.6666666666
main_bearing_failures,delay,1,1,0,0,224.1613425925926,224.1613425925926
main_bearing_failures,repair,1,1,697500,0,150.0,697650.0
main_bearing_maintenance,delay,1,1,0,0,3015.7648148148146,3015.7648148148146
main_bearing_maintenance,maintenance,1,1,612500,0,1225.0,613725.0
oil,delay,1,1,0,0,3464.049074074074,3464.049074074074
oil,repair,1,1,277237,0,3168.333333333333,280405.3333333333
other,delay,1,1,0,0,44853.48101851852,44853.48101851852
other,repair,1,1,675398,0,14346.666666666668,689744.6666666666
pitch,delay,1,1,0,0,19015.52962962963,19015.52962962963
pitch,repair,1,1,1579965,0,17225.0,1597190.0
power_supply,delay,1,1,0,0,524716.0909722223,524716.0909722223
power_supply,repair,1,1,1453856,0,47454.166666666664,1501310.1666666665
pump_motor,delay,1,1,0,0,3190.6965277777776,3190.6965277777776
pump_motor,repair,1,1,518116,0,2391.6666666666665,520507.6666666667
relay,delay,1,1,0,0,1341763.3956018519,1341763.3956018519
relay,repair,1,1,658924,0,50866.666666666664,709790.6666666666
safety,delay,1,1,0,0,1347.4104166666666,1347.4104166666666
safety,repair,1,1,169254,0,1193.3333333333333,170447.3333333333
sensors,delay,1,1,0,0,4933.231712962963,4933.231712962963
sensors,repair,1,1,669654,0,4061.6666666666665,673715.6666666666
service_items,delay,1,1,0,0,953.3081018518518,953.3081018518518
service_items,repair,1,1,32142,0,1212.5,33354.5
tower_substructure,delay,1,1,0,0,1163.2875,1163.2875
tower_substructure,repair,1,1,300322,0,1016.6666666666666,301338.6666666667
transformer,delay,1,1,0,0,1053.330324074074,1053.330324074074
transformer,maintenance,1,1,4176,0,580.0,4756.0
transformer,repair,1,1,2300,0,40.0,2340.0
xformer,delay,1,1,0,0,4399.758101851852,4399.758101851852
xformer,repair,1,1,264286,0,1028.3333333333333,265314.3333333333
yaw,delay,1,1,0,0,1379.1296296296296,1379.1296296296296
yaw,repair,1,1,149500,0,1512.5,151012.5
blades,delay,2,2,0,0,8686.491898148148,8686.491898148148
blades,repair,2,2,302592,0,7230.0,309822.0
controls,delay,2,2,0,0,57607.90833333333,57607.90833333333
controls,repair,2,2,548442,0,9146.666666666666,557588.6666666666
electrical,delay,2,2,0,0,94620.67106481481,94620.67106481481
electrical,repair,2,2,304190,0,14947.5,319137.5
gearbox,delay,2,2,0,0,28214104.388425928,28214104.388425928
gearbox,repair,2,2,20923777,0,2007115.8333333333,22930892.833333332
generator,delay,2,2,0,0,5012566.449768518,5012566.449768518
generator,repair,2,2,6838004,0,426825.4166666667,7264829.416666667
heat_cool,delay,2,2,0,0,2315.764583333333,2315.764583333333
heat_cool,repair,2,2,319432,0,1770.0,321202.0
hub,delay,2,2,0,0,1168540.0949074074,1168540.0949074074
hub,repair,2,2,444626,0,52535.0,497161.0
main_bearing_failures,delay,2,2,0,0,194.99837962962962,194.99837962962962
main_bearing_failures,repair,2,2,558000,0,120.0,558120.0
main_bearing_maintenance,delay,2,2,0,0,3355.786574074074,3355.786574074074
main_bearing_maintenance,maintenance,2,2,635000,0,1270.0,636270.0
oil,delay,2,2,0,0,3547.3162037037036,3547.3162037037036
oil,repair,2,2,242796,0,2831.6666666666665,245627.66666666666
other,delay,2,2,0,0,38231.35949074074,38231.35949074074
other,repair,2,2,710806,0,14735.0,725541.0
pitch,delay,2,2,0,0,85736.99467592593,85736.99467592593
pitch,repair,2,2,1683250,0,21589.166666666668,1704839.1666666667
power_supply,delay,2,2,0,0,1194965.2743055555,1194965.2743055555
power_supply,repair,2,2,1552474,0,56542.5,1609016.5
pump_motor,delay,2,2,0,0,3189.0613425925926,3189.0613425925926
pump_motor,repair,2,2,541430,0,2406.6666666666665,543836.6666666667
relay,delay,2,2,0,0,461509.5273148148,461509.5273148148
relay,repair,2,2,675762,0,27452.5,703214.5
safety,delay,2,2,0,0,1865.7224537037036,1865.7224537037036
safety,repair,2,2,174502,0,1185.0,175687.0
sensors,delay,2,2,0,0,4076.587268518518,4076.587268518518
sensors,repair,2,2,636545,0,3683.333333333333,640228.3333333334
service_items,delay,2,2,0,0,1501.638425925926,1501.638425925926
service_items,repair,2,2,32006,0,1286.6666666666667,33292.66666666667
tower_substructure,delay,2,2,0,0,1838.2722222222221,1838.2722222222221
tower_substructure,repair,2,2,353340,0,1121.6666666666667,354461.6666666667
transformer,delay,2,2,0,0,1009.161574074074,1009.161574074074
transformer,maintenance,2,2,4176,0,580.0,4756.0
transformer,repair,2,2,575,0,10.0,585.0
xformer,delay,2,2,0,0,698.3104166666667,698.3104166666667
xformer,repair,2,2,37578,0,707.5,38285.5
yaw,delay,2,2,0,0,76753.07106481482,76753.07106481482
yaw,repair,2,2,158480,0,9313.333333333334,167793.33333333334
blades,delay,3,3,0,0,128741.73912037037,128741.73912037037
blades,repair,3,3,425003,0,52102.5,477105.5
controls,delay,3,3,0,0,24235.75787037037,24235.75787037037
controls,repair,3,3,558818,0,9470.0,568288.0
electrical,delay,3,3,0,0,22761.825,22761.825
electrical,repair,3,3,270845,0,6439.166666666667,277284.1666666666
gearbox,delay,3,3,0,0,29368429.20787037,29368429.20787037
gearbox,repair,3,3,18694421,0,1790122.5,20484543.5
generator,delay,3,3,0,0,5457833.330092592,5457833.330092592
generator,repair,3,3,7186417,0,452200.8333333333,7638617.833333333
heat_cool,delay,3,3,0,0,1889.099537037037,1889.099537037037
heat_cool,repair,3,3,288152,0,1596.6666666666667,289748.6666666666
hub,delay,3,3,0,0,520420.37152777775,520420.37152777775
hub,repair,3,3,406705,0,52210.0,458915.0
main_bearing_failures,delay,3,3,0,0,595.8277777777778,595.8277777777778
main_bearing_failures,repair,3,3,1116000,0,240.0,1116240.0
main_bearing_maintenance,delay,3,3,0,0,3199.936574074074,3199.936574074074
main_bearing_maintenance,maintenance,3,3,627500,0,1255.0,628755.0
oil,delay,3,3,0,0,4611.534027777778,4611.534027777778
oil,repair,3,3,258461,0,2953.333333333333,261414.3333333333
other,delay,3,3,0,0,106577.14120370371,106577.14120370371
other,repair,3,3,702504,0,14687.5,717191.5
pitch,delay,3,3,0,0,39790.613657407404,39790.613657407404
pitch,repair,3,3,1541320,0,24340.0,1565660.0
power_supply,delay,3,3,0,0,362032.7099537037,362032.7099537037
power_supply,repair,3,3,1561010,0,56670.833333333336,1617680.8333333333
pump_motor,delay,3,3,0,0,3115.7076388888886,3115.7076388888886
pump_motor,repair,3,3,502438,0,2365.0,504803.00000000006
relay,delay,3,3,0,0,673059.3858796296,673059.3858796296
relay,repair,3,3,800783,0,75019.16666666666,875802.1666666666
