subassembly,task,run,random_seed,total_requests,canceled_requests,incomplete_requests,completed_requests
array cable,none,1,1,1,0,0,1
blades,major repair,1,1,23,0,0,23
blades,major replacement,1,1,1,0,0,1
blades,minor repair,1,1,872,0,0,872
controls,major repair,1,1,107,0,0,107
controls,minor repair,1,1,666,0,0,666
electrical,major repair,1,1,32,0,0,32
electrical,major replacement,1,1,4,0,3,1
electrical,minor repair,1,1,794,0,0,794
gearbox,major repair,1,1,82,0,0,82
gearbox,major replacement,1,1,311,187,74,50
gearbox,minor repair,1,1,777,0,0,777
generator,major repair,1,1,665,0,0,665
generator,major replacement,1,1,82,18,33,31
generator,minor repair,1,1,1026,1,0,1025
heat_cool,major repair,1,1,15,0,0,15
heat_cool,minor repair,1,1,352,0,0,352
hub,major repair,1,1,49,0,0,49
hub,major replacement,1,1,4,0,0,4
hub,minor repair,1,1,358,0,0,358
main_bearing_failures,major repair,1,1,15,0,0,15
main_bearing_maintenance,minor scheduled repair,1,1,245,0,0,245
oil,major repair,1,1,15,0,0,15
oil,minor repair,1,1,883,0,0,883
other,major repair,1,1,92,0,0,92
other,major replacement,1,1,2,0,1,1
other,minor repair,1,1,1696,0,0,1696
pitch,major repair,1,1,339,0,0,339
pitch,minor repair,1,1,1581,0,0,1581
power_supply,major repair,1,1,151,0,0,151
power_supply,major replacement,1,1,12,1,6,5
power_supply,minor repair,1,1,138,0,0,138
pump_motor,major repair,1,1,71,0,0,71
pump_motor,minor repair,1,1,540,0,0,540
relay,major repair,1,1,92,0,0,92
relay,major replacement,1,1,3,0,1,2
relay,minor repair,1,1,648,0,0,648
safety,major repair,1,1,6,0,0,6
safety,minor repair,1,1,695,0,0,695
sensors,major repair,1,1,135,0,0,135
sensors,minor repair,1,1,508,0,0,508
service_items,major repair,1,1,3,0,0,3
service_items,minor repair,1,1,204,0,0,204
tower_substructure,major repair,1,1,145,0,0,145
tower_substructure,minor repair,1,1,186,0,0,186
transformer,annual inspection,1,1,29,0,0,29
transformer,minor repair,1,1,4,0,0,4
xformer,major repair,1,1,6,0,0,6
xformer,major replacement,1,1,2,0,0,2
xformer,minor repair,1,1,100,0,0,100
yaw,major repair,1,1,17,0,0,17
yaw,major replacement,1,1,2,0,2,0
yaw,minor repair,1,1,295,0,0,295
blades,major repair,2,2,21,0,0,21
blades,minor repair,2,2,915,0,0,915
controls,major repair,2,2,92,0,0,92
controls,major replacement,2,2,2,0,0,2
controls,minor repair,2,2,644,0,0,644
electrical,major repair,2,2,31,0,0,31
electrical,major replacement,2,2,7,0,3,4
electrical,minor repair,2,2,779,0,0,779
gearbox,major repair,2,2,77,0,0,77
gearbox,major replacement,2,2,290,162,73,55
gearbox,minor repair,2,2,701,1,0,700
generator,major repair,2,2,615,0,0,615
generator,major replacement,2,2,93,29,32,32
generator,minor repair,2,2,956,0,0,956
heat_cool,major repair,2,2,11,0,0,11
heat_cool,minor repair,2,2,394,0,0,394
hub,major repair,2,2,84,0,0,84
hub,major replacement,2,2,2,0,1,1
hub,minor repair,2,2,336,0,0,336
main_bearing_failures,major repair,2,2,12,0,0,12
main_bearing_maintenance,minor scheduled repair,2,2,254,0,0,254
oil,major repair,2,2,11,0,0,11
oil,minor repair,2,2,800,0,0,800
other,major repair,2,2,98,0,0,98
other,major replacement,2,2,1,0,0,1
other,minor repair,2,2,1764,0,0,1764
pitch,major repair,2,2,365,0,0,365
pitch,major replacement,2,2,1,0,0,1
pitch,minor repair,2,2,1584,0,1,1583
power_supply,major repair,2,2,161,0,1,160
power_supply,major replacement,2,2,11,1,4,6
power_supply,minor repair,2,2,139,0,0,139
pump_motor,major repair,2,2,82,0,0,82
pump_motor,minor repair,2,2,517,0,0,517
relay,major repair,2,2,99,0,0,99
relay,major replacement,2,2,1,0,0,1
relay,minor repair,2,2,678,0,0,678
safety,major repair,2,2,8,0,0,8
safety,minor repair,2,2,683,0,0,683
sensors,major repair,2,2,130,0,0,130
sensors,minor repair,2,2,455,0,0,455
service_items,major repair,2,2,2,0,0,2
service_items,minor repair,2,2,218,0,0,218
tower_substructure,major repair,2,2,173,0,0,173
tower_substructure,minor repair,2,2,200,0,0,200
transformer,annual inspection,2,2,29,0,0,29
transformer,minor repair,2,2,1,0,0,1
xformer,major repair,2,2,6,0,0,6
xformer,major replacement,2,2,2,0,2,0
xformer,minor repair,2,2,99,0,0,99
yaw,major repair,2,2,13,0,0,13
yaw,major replacement,2,2,3,0,2,1
yaw,minor repair,2,2,331,0,0,331
blades,major repair,3,3,18,0,0,18
blades,major replacement,3,3,2,0,1,1
blades,minor repair,3,3,857,0,0,857
controls,major repair,3,3,90,0,0,90
controls,major replacement,3,3,3,0,1,2
controls,minor repair,3,3,696,0,0,696
electrical,major repair,3,3,40,0,0,40
electrical,major replacement,3,3,1,0,0,1
electrical,minor repair,3,3,753,0,0,753
gearbox,major repair,3,3,75,0,0,75
gearbox,major replacement,3,3,287,171,67,49
gearbox,minor repair,3,3,760,1,0,759
generator,major repair,3,3,643,1,0,642
generator,major replacement,3,3,105,31,40,34
generator,minor repair,3,3,961,0,0,961
heat_cool,major repair,3,3,9,0,0,9
heat_cool,minor repair,3,3,358,0,0,358
hub,major repair,3,3,64,0,0,64
hub,major replacement,3,3,1,0,0,1
hub,minor repair,3,3,377,0,0,377
main_bearing_failures,major repair,3,3,24,0,0,24
main_bearing_maintenance,minor scheduled repair,3,3,251,0,0,251
oil,major repair,3,3,14,0,0,14
oil,minor repair,3,3,824,0,1,823
other,major repair,3,3,96,0,0,96
other,major replacement,3,3,3,0,2,1
other,minor repair,3,3,1761,0,0,1761
pitch,major repair,3,3,319,0,1,318
pitch,major replacement,3,3,2,0,0,2
pitch,minor repair,3,3,1524,0,0,1524
power_supply,major repair,3,3,160,0,0,160
power_supply,major replacement,3,3,12,0,6,6
power_supply,minor repair,3,3,161,0,0,161
pump_motor,major repair,3,3,65,0,0,65
