run,random_seed,year,Large Crane 1,Large Crane 2,Large Crane for MB,Truck 1,Truck 2,Truck 3
1,1,2017,1381116.38125,0.0,0.0,7279.462037037037,7279.435185185185,7279.425925925926
1,1,2018,1163700.45,510391.4125,0.0,7299.464814814814,7299.428935185185,7299.459722222222
1,1,2019,1204094.825,469996.25,0.0,7299.4875,7299.461805555556,7299.474999999999
1,1,2020,1383480.0,0.0,0.0,7319.464814814814,7319.459722222222,7319.438888888889
1,1,2021,1098260.03125,575831.7,0.0,7299.45,7299.435648148148,7299.468981481481
1,1,2022,1193389.50625,480702.225,0.0,7299.472453703704,7299.4537037037035,7299.471064814815
1,1,2023,1219534.59375,454557.1375,0.0,7299.441666666667,7299.439583333333,7299.449074074074
1,1,2024,1147517.89375,530354.1,0.0,7319.460185185185,7319.4837962962965,7319.468055555555
1,1,2025,1291787.5875,382303.96875,0.0,7299.462037037037,7299.47962962963,7299.450925925926
1,1,2026,832033.125,677380.48125,0.0,7299.439814814815,7299.458101851852,7299.481018518519
1,1,2027,1215715.65625,475859.275,0.0,7299.444907407407,7299.456712962963,7299.438888888889
1,1,2028,1287692.325,242983.125,0.0,7319.43912037037,7319.46087962963,7319.44212962963
1,1,2029,940996.7625,733095.8,0.0,7299.46087962963,7299.470138888889,7299.428703703704
1,1,2030,997656.73125,823630.75625,0.0,7299.461805555556,7299.446527777777,7299.437268518518
1,1,2031,739392.43125,934699.08125,0.0,7299.465972222222,7299.462037037037,7299.435648148148
1,1,2032,1038719.34375,491956.325,225637.3625,7319.496759259259,7319.470138888889,7319.484722222222
1,1,2033,943905.21875,877382.4,0.0,7299.491203703704,7299.466203703703,7299.450462962963
1,1,2034,1064825.84375,462069.475,0.0,7299.459259259259,7299.424074074074,7299.45787037037
1,1,2035,1122123.075,551812.95,0.0,7299.46412037037,7299.4631944444445,7299.465046296296
1,1,2036,1287495.5375,390375.14375,0.0,7319.475231481481,7319.477314814814,7319.438425925926
1,1,2037,823146.5125,998140.8875,0.0,7299.480787037037,7299.471527777778,7299.444444444444
1,1,2038,1151726.90625,522365.83125,0.0,7299.455092592592,7299.4636574074075,7299.449074074074
1,1,2039,1271321.00625,549966.875,0.0,7299.472453703704,7299.479861111111,7299.427546296296
1,1,2040,1322811.7625,355060.625,0.0,7319.450925925926,7319.444907407407,7319.434722222222
1,1,2041,1227883.05625,446210.6875,0.0,7299.423611111111,7299.466203703703,7299.46875
1,1,2042,1288283.475,385808.86875,0.0,7299.457175925926,7299.466203703703,7299.463425925926
1,1,2043,1340296.975,333793.70625,0.0,7299.458564814815,7299.459722222222,7299.449537037037
1,1,2044,1200669.4625,477201.875,0.0,7319.443981481481,7319.462268518519,7319.45625
1,1,2045,1304028.35625,370062.5,0.0,7299.47037037037,7299.469907407407,7299.467361111111
1,1,2046,1247255.03125,426838.05625,0.0,7299.496064814814,7299.455555555555,7299.438194444444
