run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,5104968.0,0.0,1877093.9495370372,0,1496610,8478671.949537037
1,1,2018,5104968.0,0.0,1285331.093287037,0,1346648,7736947.093287037
1,1,2019,5104968.0,0.0,1843186.085648148,0,1811807,8759961.085648147
1,1,2020,5118954.21369863,0.0,1843331.174074074,0,1798925,8761210.387772704
1,1,2021,5104968.0,0.0,1695988.8451388888,0,1526282,8327238.845138889
1,1,2022,5104968.0,0.0,1990380.5935185186,0,1803834,8899182.593518518
1,1,2023,5104968.0,0.0,1843187.8375,0,2049368,8997523.8375
1,1,2024,5118954.21369863,0.0,1847026.0530092593,0,1336409,8302389.26670789
1,1,2025,5104968.0,0.0,1695991.0358796297,0,1887198,8688157.03587963
1,1,2026,5104968.0,0.0,1843185.6011574075,0,1331503,8279656.601157407
1,1,2027,5104968.0,0.0,1843187.036111111,0,2067108,9015263.03611111
1,1,2028,5118954.21369863,0.0,1994222.1962962963,0,1724456,8837632.409994926
1,1,2029,5104968.0,0.0,1843186.711574074,0,1562612,8510766.711574074
1,1,2030,5104968.0,0.0,1843185.8111111112,0,1543066,8491219.811111111
1,1,2031,5104968.0,0.0,1843187.3780092592,0,1613224,8561379.37800926
1,1,2032,5118954.21369863,0.0,1847025.1921296297,0,2131560,9097539.40582826
1,1,2033,5104968.0,0.0,1695989.8409722222,0,1563886,8364843.840972222
1,1,2034,5104968.0,0.0,1843185.661111111,0,1610572,8558725.66111111
1,1,2035,5104968.0,0.0,1990381.2243055555,0,1921031,9016380.224305555
1,1,2036,5118954.21369863,0.0,1994223.0928240742,0,1633084,8746261.306522705
