subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
blades,delay,1,1,0,0,5022.405092592592,5022.405092592592
blades,repair,1,1,191601,0,4592.5,196193.5
controls,delay,1,1,0,0,115594.49444444444,115594.49444444444
controls,repair,1,1,351605,0,5451.666666666667,357056.6666666667
electrical,delay,1,1,0,0,3043.2506944444444,3043.2506944444444
electrical,repair,1,1,161580,0,2438.3333333333335,164018.3333333333
gearbox,delay,1,1,0,0,13955066.346527778,13955066.346527778
gearbox,repair,1,1,11073747,0,1080331.4583333333,12154078.458333334
generator,delay,1,1,0,0,8532345.709722223,8532345.709722223
generator,repair,1,1,6453423,0,534857.5,6988280.5
heat_cool,delay,1,1,0,0,1562.461574074074,1562.461574074074
heat_cool,repair,1,1,218968,0,1213.3333333333335,220181.3333333333
hub,delay,1,1,0,0,1063798.7835648148,1063798.7835648148
hub,repair,1,1,336726,0,50585.0,387311.0
oil,delay,1,1,0,0,2236.5569444444445,2236.5569444444445
oil,repair,1,1,163935,0,1896.6666666666665,165831.66666666666
other,delay,1,1,0,0,6462.346296296296,6462.346296296296
other,repair,1,1,392638,0,5446.666666666667,398084.6666666666
pitch,delay,1,1,0,0,25228.11273148148,25228.11273148148
pitch,repair,1,1,1088235,0,15587.5,1103822.5
power_supply,delay,1,1,0,0,413922.9328703704,413922.9328703704
power_supply,repair,1,1,834451,0,37455.833333333336,871906.8333333333
pump_motor,delay,1,1,0,0,1884.118287037037,1884.118287037037
pump_motor,repair,1,1,360608,0,1598.3333333333333,362206.3333333334
relay,delay,1,1,0,0,3318.243287037037,3318.243287037037
relay,repair,1,1,467691,0,2666.6666666666665,470357.6666666667
safety,delay,1,1,0,0,864.9305555555555,864.9305555555555
safety,repair,1,1,125676,0,772.4999999999999,126448.5
sensors,delay,1,1,0,0,3104.942824074074,3104.942824074074
sensors,repair,1,1,407673,0,2598.333333333333,410271.3333333333
service_items,delay,1,1,0,0,1044.9685185185185,1044.9685185185185
service_items,repair,1,1,24008,0,925.0000000000001,24933.0
tower_substructure,delay,1,1,0,0,593.3043981481482,593.3043981481482
tower_substructure,repair,1,1,255689,0,662.5,256351.5
transformer,delay,1,1,0,0,750.8263888888889,750.8263888888889
transformer,maintenance,1,1,2736,0,380.0,3116.0
transformer,repair,1,1,2875,0,50.0,2925.0
xformer,delay,1,1,0,0,787.4856481481481,787.4856481481481
xformer,repair,1,1,37296,0,577.5,37873.5
yaw,delay,1,1,0,0,1025.8127314814815,1025.8127314814815
yaw,repair,1,1,74757,0,937.5,75694.5
blades,delay,2,2,0,0,4686.549074074074,4686.549074074074
blades,repair,2,2,204932,0,4810.0,209742.0
controls,delay,2,2,0,0,8541.592592592593,8541.592592592593
controls,repair,2,2,428946,0,7511.666666666667,436457.6666666667
electrical,delay,2,2,0,0,3019.9127314814814,3019.9127314814814
electrical,repair,2,2,173074,0,2590.8333333333335,175664.8333333333
gearbox,delay,2,2,0,0,19894654.325,19894654.325
gearbox,repair,2,2,11810459,0,1131892.5,12942351.5
generator,delay,2,2,0,0,3683600.296527778,3683600.296527778
generator,repair,2,2,4972015,0,334614.5833333333,5306629.583333333
heat_cool,delay,2,2,0,0,1325.7900462962962,1325.7900462962962
heat_cool,repair,2,2,182272,0,1010.0,183282.0
hub,delay,2,2,0,0,316809.5324074074,316809.5324074074
hub,repair,2,2,325723,0,50410.0,376133.0
oil,delay,2,2,0,0,2074.9194444444443,2074.9194444444443
oil,repair,2,2,152932,0,1834.9999999999998,154767.0
other,delay,2,2,0,0,119985.51597222223,119985.51597222223
other,repair,2,2,426556,0,11385.0,437941.0
pitch,delay,2,2,0,0,23334.786111111112,23334.786111111112
pitch,repair,2,2,989510,0,15021.666666666666,1004531.6666666667
power_supply,delay,2,2,0,0,100469.33981481481,100469.33981481481
power_supply,repair,2,2,959261,0,19664.166666666668,978925.1666666666
pump_motor,delay,2,2,0,0,1928.2435185185184,1928.2435185185184
pump_motor,repair,2,2,354542,0,1631.6666666666665,356173.6666666667
relay,delay,2,2,0,0,3204.0759259259257,3204.0759259259257
relay,repair,2,2,415736,0,2391.6666666666665,418127.6666666667
safety,delay,2,2,0,0,1066.5909722222223,1066.5909722222223
safety,repair,2,2,115390,0,790.8333333333333,116180.83333333333
sensors,delay,2,2,0,0,3015.7618055555554,3015.7618055555554
sensors,repair,2,2,464317,0,2668.333333333333,466985.3333333333
service_items,delay,2,2,0,0,1019.9782407407407,1019.9782407407407
service_items,repair,2,2,23750,0,913.3333333333334,24663.333333333336
tower_substructure,delay,2,2,0,0,855.7974537037037,855.7974537037037
tower_substructure,repair,2,2,237316,0,728.3333333333334,238044.33333333334
transformer,delay,2,2,0,0,779.1622685185185,779.1622685185185
transformer,maintenance,2,2,2736,0,380.0,3116.0
transformer,repair,2,2,2300,0,40.0,2340.0
xformer,delay,2,2,0,0,674.1539351851852,674.1539351851852
xformer,repair,2,2,17890,0,558.3333333333334,18448.333333333336
yaw,delay,2,2,0,0,26335.58958333333,26335.58958333333
yaw,repair,2,2,97394,0,8771.666666666666,106165.66666666667
