subassembly,task,run,random_seed,total_requests,canceled_requests,incomplete_requests,completed_requests
blades,major repair,1,1,13,0,0,13
blades,major replacement,1,1,1,0,1,0
blades,minor repair,1,1,582,0,0,582
controls,major repair,1,1,59,0,0,59
controls,major replacement,1,1,2,0,1,1
controls,minor repair,1,1,431,0,0,431
electrical,major repair,1,1,24,0,0,24
electrical,major replacement,1,1,3,0,3,0
electrical,minor repair,1,1,518,0,0,518
gearbox,major repair,1,1,44,0,0,44
gearbox,major replacement,1,1,208,112,67,29
gearbox,minor repair,1,1,505,0,0,505
generator,major repair,1,1,409,1,0,408
generator,major replacement,1,1,138,47,50,41
generator,minor repair,1,1,624,0,0,624
heat_cool,major repair,1,1,9,0,0,9
heat_cool,minor repair,1,1,266,0,0,266
hub,major repair,1,1,50,0,0,50
hub,major replacement,1,1,1,0,0,1
hub,minor repair,1,1,238,0,0,238
oil,major repair,1,1,8,0,0,8
oil,minor repair,1,1,533,0,0,533
other,major repair,1,1,51,0,0,51
other,major replacement,1,1,1,0,1,0
other,minor repair,1,1,1093,0,0,1093
pitch,major repair,1,1,228,0,0,228
pitch,major replacement,1,1,1,0,0,1
pitch,minor repair,1,1,1072,0,0,1072
power_supply,major repair,1,1,83,0,0,83
power_supply,major replacement,1,1,7,0,3,4
power_supply,minor repair,1,1,99,0,0,99
pump_motor,major repair,1,1,55,0,0,55
pump_motor,minor repair,1,1,342,0,0,342
relay,major repair,1,1,76,0,0,76
relay,major replacement,1,1,3,0,3,0
relay,minor repair,1,1,439,0,0,439
safety,major repair,1,1,9,0,0,9
safety,minor repair,1,1,433,0,1,432
sensors,major repair,1,1,81,0,0,81
sensors,minor repair,1,1,329,0,0,329
service_items,major repair,1,1,2,0,0,2
service_items,minor repair,1,1,156,0,0,156
tower_substructure,major repair,1,1,130,0,0,130
tower_substructure,minor repair,1,1,107,0,0,107
transformer,annual inspection,1,1,19,0,0,19
transformer,minor repair,1,1,5,0,0,5
xformer,major repair,1,1,7,0,0,7
xformer,major replacement,1,1,1,0,1,0
xformer,minor repair,1,1,73,0,0,73
yaw,major repair,1,1,6,0,0,6
yaw,minor repair,1,1,201,0,0,201
blades,major repair,2,2,16,0,0,16
blades,major replacement,2,2,2,0,2,0
blades,minor repair,2,2,604,0,0,604
controls,major repair,2,2,77,0,0,77
controls,major replacement,2,2,2,0,0,2
controls,minor repair,2,2,425,0,0,425
electrical,major repair,2,2,26,0,0,26
electrical,major replacement,2,2,3,1,2,0
electrical,minor repair,2,2,550,0,1,549
gearbox,major repair,2,2,43,0,0,43
gearbox,major replacement,2,2,186,91,64,31
gearbox,minor repair,2,2,488,1,0,487
generator,major repair,2,2,420,0,0,420
generator,major replacement,2,2,125,55,45,25
generator,minor repair,2,2,640,0,0,640
heat_cool,major repair,2,2,8,0,0,8
heat_cool,minor repair,2,2,220,0,0,220
hub,major repair,2,2,46,0,0,46
hub,major replacement,2,2,2,0,1,1
hub,minor repair,2,2,233,0,0,233
oil,major repair,2,2,5,0,0,5
oil,minor repair,2,2,528,0,0,528
other,major repair,2,2,53,0,0,53
other,major replacement,2,2,3,0,2,1
other,minor repair,2,2,1149,0,0,1149
pitch,major repair,2,2,197,0,0,197
pitch,major replacement,2,2,3,0,2,1
pitch,minor repair,2,2,1062,0,0,1062
power_supply,major repair,2,2,103,0,0,103
power_supply,major replacement,2,2,5,1,2,2
power_supply,minor repair,2,2,87,0,0,87
pump_motor,major repair,2,2,49,0,0,49
pump_motor,minor repair,2,2,367,0,0,367
relay,major repair,2,2,66,0,0,66
relay,minor repair,2,2,404,0,0,404
safety,major repair,2,2,5,0,0,5
safety,minor repair,2,2,458,0,1,457
sensors,major repair,2,2,95,0,0,95
sensors,minor repair,2,2,329,0,0,329
service_items,major repair,2,2,2,0,0,2
service_items,minor repair,2,2,154,0,0,154
tower_substructure,major repair,2,2,117,0,0,117
tower_substructure,minor repair,2,2,128,0,0,128
transformer,annual inspection,2,2,19,0,0,19
transformer,minor repair,2,2,4,0,0,4
xformer,major repair,2,2,1,0,0,1
xformer,major replacement,2,2,1,0,1,0
xformer,minor repair,2,2,92,0,0,92
yaw,major repair,2,2,5,0,0,5
yaw,major replacement,2,2,4,1,2,1
yaw,minor repair,2,2,233,0,0,233
