run,random_seed,time_based_availability,production_based_availability
1,1,0.9588315551452748,0.9059346631052358
2,2,0.9504299220350192,0.9054893491022475
3,3,0.9518699775725377,0.9054842345994315
4,4,0.9586743334974124,0.9110210584339562
5,5,0.9584699204191647,0.9154939477709629
6,6,0.9572230567479132,0.9103410868222512
7,7,0.9590246223314087,0.9090846627751741
8,8,0.9579777455936794,0.9158205714057241
9,9,0.9576169836285011,0.9119284325834995
10,10,0.9586172923365107,0.9119701883688625
11,11,0.9581151431003759,0.9167502505740692
12,12,0.9581521107598456,0.9203550090679691
13,13,0.9579905253073241,0.9119443211201561
14,14,0.9588494467443773,0.9172785430466274
15,15,0.9582195627118627,0.9109277883230416
16,16,0.9584961655871861,0.9171044377496103
17,17,0.9582832119198197,0.9049296065642951
18,18,0.9582367062301665,0.9199707828428262
19,19,0.9456592237614401,0.9021761054661424
20,20,0.9585882418654941,0.9137674084759049
21,21,0.958460818769447,0.9173098980768744
22,22,0.9577627970441831,0.9131913482973258
23,23,0.9584176171033214,0.9144914632836453
24,24,0.9584272798136381,0.9142601050620205
25,25,0.9569291233340864,0.9136226480269685
