run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,5104968.0,0.0,2225849.5367777776,0,831933,8162750.536777778
1,1,2018,5104968.0,0.0,1695989.1988425925,0,1840644,8641601.198842593
1,1,2019,5104968.0,0.0,1695989.388888889,0,1500805,8301762.388888889
1,1,2020,5118954.21369863,0.0,1699829.6409722222,0,1643570,8462353.854670852
1,1,2021,5104968.0,0.0,2265237.906037037,0,1172364,8542569.906037036
1,1,2022,5104968.0,0.0,2472035.2691018516,0,1617177,9194180.26910185
1,1,2023,5104968.0,0.0,1695990.7819444444,0,1535333,8336291.781944444
1,1,2024,5118954.21369863,0.0,1699829.945601852,0,1620854,8439638.159300482
1,1,2025,5104968.0,0.0,1401598.3592592592,0,1089685,7596251.359259259
1,1,2026,5104968.0,0.0,2425566.2422037036,0,1625702,9156236.242203703
1,1,2027,5104968.0,0.0,2600783.6214814815,0,1564972,9270723.621481482
1,1,2028,5118954.21369863,0.0,1405438.393287037,0,779228,7303620.606985668
1,1,2029,5104968.0,0.0,1695989.2837962962,0,1796824,8597781.283796296
1,1,2030,5104968.0,0.0,1548794.3166666667,0,1486730,8140492.316666666
1,1,2031,5104968.0,0.0,1548793.732638889,0,1145655,7799416.732638889
1,1,2032,5118954.21369863,0.0,1699830.630324074,0,1375304,8194088.844022704
1,1,2033,5104968.0,0.0,2708524.4913981482,0,1501945,9315437.491398148
1,1,2034,5104968.0,0.0,1695989.2520833334,0,1514149,8315106.252083333
1,1,2035,5104968.0,0.0,1548794.1414351852,0,1552508,8206270.141435185
1,1,2036,5118954.21369863,0.0,1552634.5055555555,0,1090333,7761921.719254185
1,1,2037,5104968.0,0.0,1695989.3787037036,0,1626048,8427005.378703704
1,1,2038,5104968.0,0.0,2475464.324675926,0,1069205,8649637.324675925
1,1,2039,5104968.0,0.0,2721855.5567777776,0,1521040,9347863.556777777
1,1,2040,5118954.21369863,0.0,1699830.3805555557,0,1766275,8585059.594254186
1,1,2041,5104968.0,0.0,2541241.473787037,0,1291260,8937469.473787038
1,1,2042,5104968.0,0.0,1695989.211111111,0,1780156,8581113.211111112
1,1,2043,5104968.0,0.0,1548795.0918981482,0,1454001,8107764.091898148
1,1,2044,5118954.21369863,0.0,3053011.9452685183,0,1223584,9395550.158967149
1,1,2045,5104968.0,0.0,2013508.7819444444,0,1443941,8562417.781944444
1,1,2046,5104968.0,0.0,1695989.5497685184,0,1906474,8707431.549768519
2,2,2017,5104968.0,0.0,1426694.048611111,0,782968,7314630.048611111
2,2,2018,5104968.0,0.0,1695989.1081018518,0,1800637,8601594.108101852
2,2,2019,5104968.0,0.0,1695988.9361111112,0,1706539,8507495.936111111
2,2,2020,5118954.21369863,0.0,1847026.2018518518,0,1345491,8311471.4155504815
2,2,2021,5104968.0,0.0,1548794.1011574075,0,1540208,8193970.101157407
2,2,2022,5104968.0,0.0,1695990.6828703703,0,1283279,8084237.68287037
2,2,2023,5104968.0,0.0,1548794.4083333334,0,1458647,8112409.408333333
2,2,2024,5118954.21369863,0.0,2394774.9999814816,0,1455903,8969632.21368011
2,2,2025,5104968.0,0.0,1548795.1881944444,0,1260856,7914619.188194444
2,2,2026,5104968.0,0.0,1548793.482175926,0,1538692,8192453.482175926
2,2,2027,5104968.0,0.0,1695991.0405092593,0,1019206,7820165.040509259
2,2,2028,5118954.21369863,0.0,1699829.950925926,0,1471297,8290081.164624556
2,2,2029,5104968.0,0.0,1548794.2041666666,0,1378520,8032282.204166667
2,2,2030,5104968.0,0.0,1548794.1833333333,0,1831498,8485260.183333334
2,2,2031,5104968.0,0.0,1695989.1560185186,0,1434616,8235573.156018519
2,2,2032,5118954.21369863,0.0,1515980.249074074,0,1795597,8430531.462772705
2,2,2033,5104968.0,0.0,2731609.7262314814,0,1312619,9149196.726231482
2,2,2034,5104968.0,0.0,1695990.0613425926,0,1433777,8234735.061342592
2,2,2035,5104968.0,0.0,2488931.707111111,0,1468673,9062572.70711111
2,2,2036,5118954.21369863,0.0,1699829.6474537037,0,1182087,8000870.861152334
2,2,2037,5104968.0,0.0,1548793.3444444444,0,1483731,8137492.344444444
2,2,2038,5104968.0,0.0,2477761.473453704,0,1914645,9497374.473453704
2,2,2039,5104968.0,0.0,3339417.1458240743,0,1593072,10037457.145824075
2,2,2040,5118954.21369863,0.0,2138233.1099722222,0,1124987,8382174.323670853
2,2,2041,5104968.0,0.0,1843185.9935185185,0,1649030,8597183.993518518
2,2,2042,5104968.0,0.0,1548794.025925926,0,1104741,7758503.025925926
2,2,2043,5104968.0,0.0,2524328.9491574075,0,1250877,8880173.949157408
2,2,2044,5118954.21369863,0.0,1847025.727314815,0,1746180,8712159.941013444
2,2,2045,5104968.0,0.0,2386865.382342593,0,1305814,8797647.382342592
2,2,2046,5104968.0,0.0,2684573.1036666664,0,1411134,9200675.103666667
3,3,2017,5104968.0,0.0,1682270.50625,0,918341,7705579.50625
3,3,2018,5104968.0,0.0,1548795.3666666667,0,1150665,7804428.366666667
3,3,2019,5104968.0,0.0,1695990.7027777778,0,1338134,8139092.702777778
3,3,2020,5118954.21369863,0.0,1552634.8453703704,0,1434895,8106484.059069
3,3,2021,5104968.0,0.0,1548792.9523148148,0,1712212,8365972.952314815
3,3,2022,5104968.0,0.0,2661083.682851852,0,1625708,9391759.682851851
3,3,2023,5104968.0,0.0,2707878.6203796295,0,1201199,9014045.62037963
3,3,2024,5118954.21369863,0.0,3526132.7152962964,0,1428167,10073253.928994928
3,3,2025,5104968.0,0.0,1548795.1666666667,0,1405807,8059570.166666667
3,3,2026,5104968.0,0.0,1843184.099074074,0,1942741,8890893.099074073
3,3,2027,5104968.0,0.0,2654001.7503425926,0,1311079,9070048.750342593
3,3,2028,5118954.21369863,0.0,1405438.3233796295,0,986324,7510716.5370782595
3,3,2029,5104968.0,0.0,1695991.2506944444,0,1721597,8522556.250694444
3,3,2030,5104968.0,0.0,1695988.9787037037,0,1902484,8703440.978703704
3,3,2031,5104968.0,0.0,2258765.390712963,0,1035258,8398991.390712963
3,3,2032,5118954.21369863,0.0,2990972.5251018517,0,1916827,10026753.738800481
3,3,2033,5104968.0,0.0,1989750.5399444446,0,983498,8078216.539944445
3,3,2034,5104968.0,0.0,3752091.8173055556,0,1965794,10822853.817305556
3,3,2035,5104968.0,0.0,2512163.3934537037,0,1203237,8820368.393453704
3,3,2036,5118954.21369863,0.0,1994222.125462963,0,1993718,9106894.339161593
3,3,2037,5104968.0,0.0,1695991.6833333333,0,1626290,8427249.683333334
3,3,2038,5104968.0,0.0,1695988.7680555556,0,1671420,8472376.768055556
3,3,2039,5104968.0,0.0,3591695.971425926,0,1494568,10191231.971425926
3,3,2040,5118954.21369863,0.0,1552635.030787037,0,1067157,7738746.244485667
3,3,2041,5104968.0,0.0,2515671.3909166665,0,1861122,9481761.390916666
3,3,2042,5104968.0,0.0,1695990.087962963,0,1587298,8388256.087962963
3,3,2043,5104968.0,0.0,2458208.788962963,0,1049842,8613018.788962964
3,3,2044,5118954.21369863,0.0,2517922.0048703705,0,1499034,9135910.218569001
3,3,2045,5104968.0,0.0,1548795.1150462963,0,1364729,8018492.115046296
3,3,2046,5104968.0,0.0,1843186.7071759258,0,1644369,8592523.707175925
4,4,2017,5104968.0,0.0,1474452.0472222222,0,837564,7416984.047222222
4,4,2018,5104968.0,0.0,1843185.7398148149,0,1596274,8544427.739814814
4,4,2019,5104968.0,0.0,1695989.4043981482,0,1238118,8039075.404398148
4,4,2020,5118954.21369863,0.0,1552634.1810185185,0,1418896,8090484.3947171485
4,4,2021,5104968.0,0.0,1695989.6391203704,0,1366306,8167263.63912037
4,4,2022,5104968.0,0.0,2461147.782722222,0,1960386,9526501.782722222
4,4,2023,5104968.0,0.0,2563952.8553425926,0,1293390,8962310.855342593
4,4,2024,5118954.21369863,0.0,1552633.7219907406,0,996110,7667697.935689371
4,4,2025,5104968.0,0.0,2693503.3093518517,0,1627551,9426022.309351852
4,4,2026,5104968.0,0.0,1548793.6032407407,0,1779206,8432967.603240741
