run,random_seed,year,Large Crane 1,Large Crane 2,Large Crane for MB,Truck 1,Truck 2,Truck 3
1,1,2017,1436032.7375,0.0,767978.4839999999,7279.428703703704,7279.469212962963,7279.417361111111
1,1,2018,1163701.01875,510389.8375,0.0,7299.469212962963,7299.425925925926,7299.447453703704
1,1,2019,1302414.15625,371676.875,0.0,7299.446759259259,7299.445138888888,7299.46574074074
1,1,2020,1317770.625,360100.625,0.0,7319.4743055555555,7319.45,7319.466666666666
1,1,2021,1379700.0,0.0,863639.469,7299.472222222222,7299.488194444444,7299.47662037037
1,1,2022,1128815.3375,545277.79375,776043.786,7299.425,7299.458101851852,7299.46875
1,1,2023,1390221.85,283870.625,0.0,7299.454398148148,7299.428009259259,7299.424537037037
1,1,2024,1306631.4375,371240.1625,0.0,7319.431481481482,7319.477777777777,7319.436342592592
1,1,2025,1379700.0,0.0,0.0,7299.4537037037035,7299.445138888888,7299.460416666667
1,1,2026,1219534.94375,454556.65625,729576.351,7299.412499999999,7299.423611111111,7299.455092592592
1,1,2027,1245561.075,428529.43125,904794.765,7299.4430555555555,7299.449537037037,7299.457638888889
1,1,2028,1383480.0,0.0,0.0,7319.496759259259,7319.459027777778,7319.4375
1,1,2029,978795.0125,695295.93125,0.0,7299.463425925926,7299.418287037037,7299.458333333333
1,1,2030,1020875.625,506020.30625,0.0,7299.458333333333,7299.486805555555,7299.440277777778
1,1,2031,1525517.2375,1378.125,0.0,7299.451620370371,7299.474999999999,7299.443518518518
1,1,2032,1261586.9625,416285.38125,0.0,7319.425694444444,7319.419444444445,7319.441435185185
1,1,2033,1257138.4625,415736.40625,1013751.312,7299.418055555556,7299.451388888889,7299.441203703704
1,1,2034,1287412.10625,386678.75,0.0,7299.456018518518,7299.4532407407405,7299.486574074074
1,1,2035,1050879.375,476016.38125,0.0,7299.461574074074,7299.476851851852,7299.446759259259
1,1,2036,1386406.19375,144270.0,0.0,7319.424305555555,7319.454166666666,7319.433333333333
1,1,2037,1201264.76875,472826.2625,0.0,7299.447916666666,7299.458101851852,7299.441435185185
1,1,2038,1143971.3,530121.875,779472.855,7299.446759259259,7299.406481481481,7299.441435185185
1,1,2039,1340140.0875,333951.38125,1025865.7289999999,7299.446990740741,7299.434027777777,7299.478009259259
1,1,2040,1136055.83125,541816.25,0.0,7319.454861111111,7319.421527777778,7319.422916666666
1,1,2041,1284852.775,389238.125,845252.268,7299.448148148148,7299.419212962963,7299.438425925926
1,1,2042,1174563.4,499527.5,0.0,7299.422222222222,7299.434953703703,7299.453935185185
1,1,2043,1153333.125,373563.6375,0.0,7299.44837962963,7299.4537037037035,7299.427314814815
1,1,2044,1193231.30625,337443.75,1500378.558,7319.44212962963,7319.436111111111,7319.452777777778
1,1,2045,1208076.425,466014.08125,317520.0,7299.433796296296,7299.420833333334,7299.421064814815
1,1,2046,1171339.025,502752.1375,0.0,7299.456481481481,7299.467129629629,7299.4636574074075
2,2,2017,1404855.65625,0.0,0.0,7279.46412037037,7279.453472222222,7279.474768518518
2,2,2018,1163542.64375,510548.125,0.0,7299.443981481481,7299.440740740741,7299.454629629629
2,2,2019,1302413.7625,371676.875,0.0,7299.443981481481,7299.435879629629,7299.41875
2,2,2020,883193.2125,941874.625,0.0,7319.40787037037,7319.485648148148,7319.470833333333
2,2,2021,1264382.63125,262513.125,0.0,7299.430092592593,7299.435416666666,7299.479398148148
2,2,2022,1427785.46875,246306.875,0.0,7299.459490740741,7299.422916666666,7299.456712962963
2,2,2023,1043752.5,483143.5625,0.0,7299.443981481481,7299.466203703703,7299.435648148148
2,2,2024,1094795.25,435881.25,842140.1309999999,7319.435185185185,7319.466435185185,7319.467361111111
2,2,2025,1032373.125,494523.68125,0.0,7299.465972222222,7299.450462962963,7299.465509259259
2,2,2026,1231264.40625,295630.69375,0.0,7299.464583333333,7299.448611111111,7299.468981481481
2,2,2027,1317815.6875,356277.00625,0.0,7299.460185185185,7299.449768518519,7299.436805555555
2,2,2028,1230870.35,447001.25,0.0,7319.461805555556,7319.4375,7319.451620370371
2,2,2029,1020875.625,506020.2625,0.0,7299.44537037037,7299.428472222222,7299.4428240740735
2,2,2030,1087982.675,438913.125,0.0,7299.436342592592,7299.486111111111,7299.46087962963
2,2,2031,1298870.23125,375220.625,0.0,7299.444212962962,7299.416898148148,7299.438657407407
2,2,2032,828253.125,665768.75,0.0,7319.454166666666,7319.46875,7319.451157407408
2,2,2033,1422437.53125,435503.75,851770.101,7299.439814814815,7299.450925925926,7299.4532407407405
2,2,2034,1321122.09375,352969.6375,0.0,7299.462268518519,7299.418981481482,7299.448842592593
2,2,2035,1253396.48125,420694.68125,792942.171,7299.445833333333,7299.470833333333,7299.456944444444
2,2,2036,1375691.29375,302180.0,0.0,7319.435648148148,7319.444444444444,7319.473611111111
2,2,2037,1050879.375,476015.55,0.0,7299.485185185185,7299.476851851852,7299.457407407407
2,2,2038,1091014.68125,435881.25,928967.151,7299.482870370371,7299.433796296296,7299.4745370370365
2,2,2039,1298872.41875,375220.625,1643425.728,7299.458796296296,7299.464583333333,7299.450694444445
