subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
blades,delay,1,1,0,0,201497.0673611111,201497.0673611111
blades,repair,1,1,436911,0,52232.5,489143.5
controls,delay,1,1,0,0,7250.653703703703,7250.653703703703
controls,repair,1,1,541336,0,5756.666666666666,547092.6666666666
electrical,delay,1,1,0,0,18479.670833333334,18479.670833333334
electrical,repair,1,1,240907,0,6241.666666666667,247148.66666666666
gearbox,delay,1,1,0,0,28820115.37060185,28820115.37060185
gearbox,repair,1,1,20154679,0,1953548.125,22108227.125
generator,delay,1,1,0,0,4044490.6671296298,4044490.6671296298
generator,repair,1,1,6452927,0,362654.1666666667,6815581.166666667
heat_cool,delay,1,1,0,0,1995.7701388888888,1995.7701388888888
heat_cool,repair,1,1,304088,0,1685.0,305773.0
hub,delay,1,1,0,0,2202927.8777777776,2202927.8777777776
hub,repair,1,1,550146,0,98903.33333333333,649049.3333333334
main_bearing_failures,delay,1,1,0,0,2045792.826,2045792.826
main_bearing_failures,repair,1,1,720000,0,533433.6,1253433.5999999999
main_bearing_maintenance,delay,1,1,0,0,20131.465277777777,20131.465277777777
main_bearing_maintenance,maintenance,1,1,7080000,0,8850.0,7088850.0
oil,delay,1,1,0,0,3596.533564814815,3596.533564814815
oil,repair,1,1,279696,0,3173.333333333333,282869.3333333333
other,delay,1,1,0,0,79696.75833333335,79696.75833333335
other,repair,1,1,703654,0,14494.166666666668,718148.1666666666
pitch,delay,1,1,0,0,19387.124537037038,19387.124537037038
pitch,repair,1,1,1604875,0,17469.99884259259,1622344.9988425926
power_supply,delay,1,1,0,0,402474.94907407404,402474.94907407404
power_supply,repair,1,1,1545872,0,38651.666666666664,1584523.6666666665
pump_motor,delay,1,1,0,0,2801.552083333333,2801.552083333333
pump_motor,repair,1,1,518276,0,2333.333333333333,520609.3333333334
relay,delay,1,1,0,0,902338.8277777778,902338.8277777778
relay,repair,1,1,708774,0,51128.33078703704,759902.330787037
safety,delay,1,1,0,0,1906.4912037037036,1906.4912037037036
safety,repair,1,1,173138,0,1199.1666666666665,174337.16666666666
sensors,delay,1,1,0,0,4349.903935185185,4349.903935185185
sensors,repair,1,1,694890,0,3800.0,698690.0
service_items,delay,1,1,0,0,1338.2972222222222,1338.2972222222222
service_items,repair,1,1,32916,0,1247.5,34163.5
tower_substructure,delay,1,1,0,0,1189.1087962962963,1189.1087962962963
