subassembly,task,run,random_seed,total_requests,canceled_requests,incomplete_requests,completed_requests
array cable,none,1,1,1,0,0,1
blades,major repair,1,1,23,0,0,23
blades,major replacement,1,1,2,0,2,0
blades,minor repair,1,1,923,0,0,923
controls,major repair,1,1,94,0,0,94
controls,minor repair,1,1,693,0,0,693
electrical,major repair,1,1,34,0,0,34
electrical,major replacement,1,1,5,1,2,2
electrical,minor repair,1,1,700,0,0,700
gearbox,major repair,1,1,67,0,0,67
gearbox,major replacement,1,1,330,206,72,52
gearbox,minor repair,1,1,766,0,0,766
generator,major repair,1,1,618,0,0,618
generator,major replacement,1,1,81,18,32,31
generator,minor repair,1,1,947,0,0,947
heat_cool,major repair,1,1,13,0,0,13
heat_cool,minor repair,1,1,343,0,0,343
hub,major repair,1,1,62,0,0,62
hub,major replacement,1,1,4,0,2,2
hub,minor repair,1,1,337,0,0,337
main_bearing_failures,major replacement,1,1,12,0,0,12
main_bearing_maintenance,minor scheduled repair,1,1,1835,0,0,1835
oil,major repair,1,1,16,0,0,16
oil,minor repair,1,1,859,0,0,859
other,major repair,1,1,98,0,0,98
other,major replacement,1,1,2,0,1,1
other,minor repair,1,1,1718,0,0,1718
pitch,major repair,1,1,349,0,0,349
pitch,minor repair,1,1,1562,0,0,1562
power_supply,major repair,1,1,186,0,0,186
power_supply,major replacement,1,1,12,0,5,7
power_supply,minor repair,1,1,141,0,0,141
pump_motor,major repair,1,1,70,0,0,70
pump_motor,minor repair,1,1,548,0,0,548
relay,major repair,1,1,101,0,0,101
relay,major replacement,1,1,3,0,2,1
relay,minor repair,1,1,639,0,0,639
safety,major repair,1,1,7,0,0,7
safety,minor repair,1,1,663,0,0,663
sensors,major repair,1,1,160,0,0,160
sensors,minor repair,1,1,468,0,0,468
service_items,major repair,1,1,3,0,0,3
service_items,minor repair,1,1,242,0,0,242
tower_substructure,major repair,1,1,168,0,0,168
tower_substructure,minor repair,1,1,173,0,0,173
transformer,annual inspection,1,1,29,0,0,29
transformer,minor repair,1,1,8,0,0,8
xformer,major repair,1,1,6,0,0,6
xformer,major replacement,1,1,2,0,1,1
xformer,minor repair,1,1,100,0,0,100
yaw,major repair,1,1,16,0,0,16
yaw,major replacement,1,1,2,0,2,0
yaw,minor repair,1,1,323,0,0,323
blades,major repair,2,2,22,0,0,22
blades,minor repair,2,2,908,0,1,907
controls,major repair,2,2,105,0,0,105
controls,major replacement,2,2,2,0,0,2
controls,minor repair,2,2,645,0,0,645
electrical,major repair,2,2,34,0,0,34
electrical,major replacement,2,2,7,0,7,0
electrical,minor repair,2,2,729,0,0,729
gearbox,major repair,2,2,80,0,0,80
gearbox,major replacement,2,2,308,175,79,54
gearbox,minor repair,2,2,730,0,0,730
generator,major repair,2,2,637,0,1,636
generator,major replacement,2,2,95,28,36,31
generator,minor repair,2,2,969,1,0,968
heat_cool,major repair,2,2,10,0,0,10
heat_cool,minor repair,2,2,382,0,0,382
hub,major repair,2,2,82,0,0,82
hub,major replacement,2,2,2,0,0,2
hub,minor repair,2,2,341,0,0,341
main_bearing_failures,major replacement,2,2,11,0,0,11
main_bearing_maintenance,minor scheduled repair,2,2,1834,0,0,1834
oil,major repair,2,2,13,0,0,13
oil,minor repair,2,2,841,0,0,841
other,major repair,2,2,90,0,0,90
other,major replacement,2,2,1,0,0,1
other,minor repair,2,2,1709,0,0,1709
pitch,major repair,2,2,330,0,0,330
pitch,major replacement,2,2,1,0,0,1
pitch,minor repair,2,2,1538,0,1,1537
power_supply,major repair,2,2,144,0,0,144
power_supply,major replacement,2,2,11,1,8,2
power_supply,minor repair,2,2,143,0,0,143
pump_motor,major repair,2,2,80,0,0,80
pump_motor,minor repair,2,2,524,0,0,524
relay,major repair,2,2,100,0,0,100
relay,major replacement,2,2,1,0,0,1
relay,minor repair,2,2,688,0,0,688
safety,major repair,2,2,7,0,0,7
safety,minor repair,2,2,740,0,0,740
sensors,major repair,2,2,115,0,0,115
sensors,minor repair,2,2,456,0,0,456
service_items,major repair,2,2,2,0,0,2
service_items,minor repair,2,2,248,0,0,248
tower_substructure,major repair,2,2,181,0,0,181
tower_substructure,minor repair,2,2,185,0,0,185
transformer,annual inspection,2,2,29,0,0,29
transformer,minor repair,2,2,9,0,0,9
xformer,major repair,2,2,5,0,0,5
xformer,major replacement,2,2,2,0,1,1
xformer,minor repair,2,2,104,0,0,104
yaw,major repair,2,2,12,0,0,12
yaw,major replacement,2,2,3,0,2,1
yaw,minor repair,2,2,299,0,0,299
blades,major repair,3,3,18,0,0,18
blades,major replacement,3,3,2,0,1,1
blades,minor repair,3,3,916,0,1,915
controls,major repair,3,3,88,0,1,87
controls,major replacement,3,3,3,0,1,2
controls,minor repair,3,3,649,0,0,649
electrical,major repair,3,3,39,0,0,39
electrical,major replacement,3,3,1,0,1,0
electrical,minor repair,3,3,773,0,0,773
gearbox,major repair,3,3,63,0,0,63
gearbox,major replacement,3,3,288,169,69,50
gearbox,minor repair,3,3,716,1,0,715
generator,major repair,3,3,609,1,0,608
generator,major replacement,3,3,91,19,37,35
generator,minor repair,3,3,932,1,0,931
heat_cool,major repair,3,3,8,0,0,8
heat_cool,minor repair,3,3,350,0,0,350
hub,major repair,3,3,68,0,0,68
hub,major replacement,3,3,2,1,0,1
hub,minor repair,3,3,369,0,0,369
main_bearing_failures,major replacement,3,3,20,0,0,20
main_bearing_maintenance,minor scheduled repair,3,3,1835,0,0,1835
oil,major repair,3,3,15,0,0,15
oil,minor repair,3,3,804,0,0,804
other,major repair,3,3,97,0,0,97
other,major replacement,3,3,3,0,1,2
other,minor repair,3,3,1688,0,0,1688
pitch,major repair,3,3,321,0,0,321
pitch,major replacement,3,3,3,0,3,0
pitch,minor repair,3,3,1544,0,0,1544
power_supply,major repair,3,3,151,0,0,151
power_supply,major replacement,3,3,13,0,6,7
power_supply,minor repair,3,3,173,0,0,173
pump_motor,major repair,3,3,69,0,0,69
