run,random_seed,time_based_availability,production_based_availability
1,1,0.9590352201427238,0.9090737177410876
2,2,0.9586962772008413,0.9153511430378602
3,3,0.957670035025143,0.9138822804097979
4,4,0.959284829769227,0.9109713452687355
5,5,0.9588487610036451,0.9150286744123586
6,6,0.9575248450101265,0.905853016551262
7,7,0.9588124790849076,0.9105776570567059
8,8,0.9581976190084338,0.9159025165636802
9,9,0.9585991513771419,0.9102738756325571
10,10,0.9587425335302282,0.9145718792915218
11,11,0.9590059826515076,0.919207663647195
12,12,0.947016179990235,0.9075305082944103
13,13,0.9593313354588803,0.915167375809152
14,14,0.9585118129438924,0.9156747257329139
15,15,0.9583946136187611,0.9153136932386132
16,16,0.9582792844956265,0.9176335852736098
17,17,0.9586943446587779,0.909259424852179
18,18,0.9586112453500545,0.9194075135184394
19,19,0.9581464378137887,0.9156109836404474
20,20,0.959423162376922,0.9136743218194822
21,21,0.9586096245083239,0.9129779538649722
22,22,0.9584609434495801,0.9116499796400545
23,23,0.9587348033619748,0.912716540959285
24,24,0.9584277785341706,0.915782303627358
25,25,0.9582352724086356,0.9137190352297756
