run,random_seed,year,Large Crane 1,Large Crane 2,Large Crane for MB,Truck 1,Truck 2,Truck 3
1,1,2017,1436032.7375,0.0,720529.089,7279.4425925925925,7279.43125,7279.423379629629
1,1,2018,1163700.40625,510391.4125,0.0,7299.459722222222,7299.436342592592,7299.461574074074
1,1,2019,1149592.5,377303.475,0.0,7299.45,7299.461342592593,7299.435648148148
1,1,2020,1207954.5375,322721.525,0.0,7319.4525462962965,7319.476388888888,7319.490277777778
1,1,2021,1317815.1625,356276.875,0.0,7299.479398148148,7299.458333333333,7299.461805555556
1,1,2022,1118146.55,555789.78125,805665.315,7299.427083333333,7299.461574074074,7299.433564814814
1,1,2023,1081591.875,445303.3125,0.0,7299.465509259259,7299.457175925926,7299.460648148148
1,1,2024,1231617.73125,299057.9375,896986.86,7319.460648148148,7319.4432870370365,7319.4745370370365
1,1,2025,1182442.73125,491649.30625,0.0,7299.430324074074,7299.45625,7299.432175925926
1,1,2026,1186222.73125,487867.90625,0.0,7299.428009259259,7299.436805555555,7299.467824074074
1,1,2027,1098258.54375,575831.6125,0.0,7299.45,7299.47037037037,7299.479861111111
1,1,2028,1363603.65,314268.125,0.0,7319.425694444444,7319.445833333333,7319.478009259259
1,1,2029,1051036.875,475859.45,0.0,7299.461805555556,7299.437268518518,7299.445601851852
1,1,2030,1091014.50625,435881.25,772161.516,7299.455324074074,7299.44837962963,7299.4224537037035
1,1,2031,1329623.24375,344468.75,737620.926,7299.468055555555,7299.440740740741,7299.458101851852
1,1,2032,1230870.30625,447001.25,0.0,7319.459259259259,7319.43449074074,7319.4625
1,1,2033,1295921.7875,378169.41875,0.0,7299.473611111111,7299.437268518518,7299.448611111111
1,1,2034,1201264.59375,472827.18125,0.0,7299.448842592593,7299.42662037037,7299.485416666666
1,1,2035,1177875.1875,496216.45625,0.0,7299.44699074074,7299.4212962962965,7299.4530092592595
1,1,2036,1284031.36875,393840.58125,0.0,7319.450925925926,7319.431018518519,7319.450925925926
1,1,2037,1061326.85,612765.93125,0.0,7299.446527777778,7299.498379629629,7299.461342592593
1,1,2038,1147827.73125,526263.125,0.0,7299.414583333333,7299.443749999999,7299.472916666667
1,1,2039,1050879.375,476016.20625,0.0,7299.448611111111,7299.43912037037,7299.415972222222
1,1,2040,747466.45,930403.4875,0.0,7319.45,7319.470833333333,7319.462037037037
1,1,2041,1088016.58125,438878.3875,924206.997,7299.445601851851,7299.465277777777,7299.438888888889
1,1,2042,1424988.925,249102.5,0.0,7299.470601851852,7299.428703703704,7299.446527777778
1,1,2043,1283991.6,390100.04375,0.0,7299.405555555555,7299.456018518518,7299.458564814815
1,1,2044,1351716.1625,326155.6125,0.0,7319.49699074074,7319.4319444444445,7319.426851851852
1,1,2045,898269.4625,923018.85625,0.0,7299.45625,7299.456018518518,7299.46087962963
1,1,2046,1132720.91875,688566.875,0.0,7299.4319444444445,7299.445601851852,7299.471296296296
2,2,2017,1404855.65625,0.0,0.0,7279.46412037037,7279.453472222222,7279.474768518518
2,2,2018,1163542.64375,510548.125,0.0,7299.443981481481,7299.440740740741,7299.454629629629
2,2,2019,1302413.7625,371676.875,0.0,7299.443981481481,7299.435879629629,7299.41875
2,2,2020,883193.2125,941874.625,0.0,7319.40787037037,7319.485648148148,7319.470833333333
2,2,2021,1264382.63125,262513.125,0.0,7299.430092592593,7299.435416666666,7299.479398148148
2,2,2022,1427785.46875,246306.875,0.0,7299.459490740741,7299.422916666666,7299.456712962963
2,2,2023,1043752.5,483143.5625,0.0,7299.443981481481,7299.466203703703,7299.435648148148
2,2,2024,1094794.6375,435881.25,0.0,7319.430092592593,7319.464583333333,7319.470833333333
2,2,2025,1032373.125,494523.41875,0.0,7299.457407407407,7299.4428240740735,7299.440046296296
2,2,2026,1231265.19375,295630.95625,909147.141,7299.4375,7299.443518518518,7299.449768518519
2,2,2027,1317814.4625,356277.4875,0.0,7299.433564814814,7299.408101851852,7299.461342592593
2,2,2028,1230870.175,447001.25,0.0,7319.479861111111,7319.485185185185,7319.435879629629
2,2,2029,1020875.625,506019.825,0.0,7299.450925925926,7299.427546296296,7299.468055555555
2,2,2030,1087982.01875,438913.125,0.0,7299.429861111111,7299.454166666666,7299.4428240740735
2,2,2031,1398568.2125,275523.125,0.0,7299.4745370370365,7299.4430555555555,7299.450462962963
2,2,2032,1318168.4875,359701.975,0.0,7319.4738425925925,7319.425231481481,7319.4740740740735
2,2,2033,1219535.425,454556.65625,0.0,7299.450462962963,7299.445833333333,7299.456018518518
2,2,2034,1347936.38125,326154.43125,0.0,7299.458101851852,7299.441666666667,7299.436342592592
2,2,2035,1107508.51875,713778.925,0.0,7299.476157407407,7299.443287037037,7299.449074074074
2,2,2036,1325960.625,204714.825,0.0,7319.439814814815,7319.461574074074,7319.433333333333
2,2,2037,706876.25,1114412.2875,0.0,7299.452314814815,7299.408333333333,7299.4428240740735
2,2,2038,1064626.60625,462269.675,0.0,7299.4643518518515,7299.445833333333,7299.447222222222
2,2,2039,1347854.30625,326238.125,0.0,7299.466666666666,7299.4532407407405,7299.455324074074
2,2,2040,1276112.53125,401759.375,0.0,7319.4428240740735,7319.456018518518,7319.442361111111
2,2,2041,1163735.8875,510355.625,903060.0179999999,7299.437037037037,7299.445601851852,7299.422916666666
2,2,2042,1379700.0,0.0,906815.721,7299.458101851852,7299.430555555556,7299.44537037037
2,2,2043,1258746.975,415343.75,0.0,7299.46087962963,7299.467824074074,7299.459722222222
2,2,2044,1056994.9875,767170.8125,0.0,7319.446527777777,7319.402777777777,7319.427314814815
2,2,2045,1201540.30625,325355.625,0.0,7299.459953703704,7299.420370370371,7299.471296296296
2,2,2046,956076.38125,865211.28125,1033628.505,7299.443981481481,7299.456481481481,7299.459259259259
3,3,2017,1184572.7875,475859.40625,0.0,7279.439583333333,7279.436805555555,7279.436111111111
3,3,2018,1526424.48125,472.5,0.0,7299.46574074074,7299.461574074074,7299.458101851852
3,3,2019,1257888.90625,416203.4375,0.0,7299.4375,7299.436111111111,7299.485416666666
3,3,2020,1043752.5,486924.0,0.0,7319.437962962963,7319.454398148148,7319.4530092592595
3,3,2021,1086721.45,440173.125,0.0,7299.467824074074,7299.444675925925,7299.464814814814
3,3,2022,1132275.525,541816.25,0.0,7299.458796296296,7299.437268518518,7299.441666666667
3,3,2023,1219495.04375,454596.03125,718903.122,7299.457407407407,7299.451620370371,7299.44212962963
3,3,2024,1363961.7875,313910.775,644367.066,7319.447685185185,7319.433796296296,7319.4530092592595
3,3,2025,1020875.625,506019.825,317520.0,7299.483101851852,7299.4525462962965,7299.461805555556
3,3,2026,968176.8625,853110.8,955651.62,7299.449537037037,7299.455092592592,7299.435185185185
3,3,2027,1253711.91875,419478.125,904877.673,7299.449305555556,7299.441666666667,7299.461574074074
3,3,2028,1054659.375,476016.5125,0.0,7319.424537037037,7319.406712962963,7319.452083333334
3,3,2029,1091014.41875,435881.25,0.0,7299.452777777778,7299.449768518519,7299.451851851852
3,3,2030,1298871.28125,375220.625,0.0,7299.467129629629,7299.467592592592,7299.445833333333
3,3,2031,960435.0,566461.54375,781220.9789999999,7299.434722222222,7299.468518518518,7299.434259259259
3,3,2032,1179018.2875,317953.125,0.0,7319.447685185185,7319.442361111111,7319.437037037037
3,3,2033,799482.4875,1036811.6437499999,0.0,7299.4212962962965,7299.461342592593,7299.459953703704
3,3,2034,1545646.85,294340.525,0.0,7299.451157407408,7299.483101851852,7299.427083333333
3,3,2035,1363328.6375,310763.75,0.0,7299.469444444444,7299.461111111111,7299.474999999999
3,3,2036,1215908.41875,461963.75,0.0,7319.439814814815,7319.433796296296,7319.421527777778
3,3,2037,1405856.21875,268234.06875,0.0,7299.426388888889,7299.432175925926,7299.470138888889
3,3,2038,1079556.775,594534.86875,805026.159,7299.456712962963,7299.462962962963,7299.4425925925925
3,3,2039,1423891.10625,250201.5,0.0,7299.4638888888885,7299.468518518518,7299.465972222222
3,3,2040,1250680.56875,427191.29375,0.0,7319.445138888888,7319.469444444444,7319.462037037037
3,3,2041,1281195.5375,392895.275,1764265.314,7299.425,7299.454166666666,7299.399537037037
3,3,2042,1398136.18125,275956.25,0.0,7299.4224537037035,7299.459490740741,7299.443518518518
3,3,2043,1050879.375,476016.11875,933580.8929999999,7299.436342592592,7299.459722222222,7299.460185185185
3,3,2044,1201383.9875,476488.8375,0.0,7319.452314814815,7319.446296296296,7319.478240740741
3,3,2045,1438150.86875,383135.0,2032237.2,7299.456712962963,7299.4643518518515,7299.452777777778
3,3,2046,869675.625,657220.875,0.0,7299.461342592593,7299.493518518519,7299.478240740741
4,4,2017,1452613.68125,0.0,0.0,7279.452777777778,7279.451157407408,7279.462037037037
4,4,2018,1064555.425,756731.93125,0.0,7299.472222222222,7299.434722222222,7299.47662037037
4,4,2019,1087662.99375,586428.08125,0.0,7299.44212962963,7299.451620370371,7299.435648148148
4,4,2020,1231425.84375,299250.0,0.0,7319.44537037037,7319.45,7319.441898148148
4,4,2021,1310647.425,363443.86875,0.0,7299.443518518518,7299.452314814815,7299.449537037037
4,4,2022,1205713.96875,468378.2,0.0,7299.43125,7299.438425925926,7299.4738425925925
4,4,2023,838029.60625,983257.26875,0.0,7299.431018518519,7299.45,7299.459027777778
4,4,2024,1231348.05625,299328.75,719666.493,7319.415277777777,7319.461342592593,7319.464814814814
