subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
blades,delay,1,1,0,0,273721.0520833333,273721.0520833333
blades,repair,1,1,455790,0,52650.0,508440.0
controls,delay,1,1,0,0,7178.143055555555,7178.143055555555
controls,repair,1,1,520944,0,5611.666666666666,526555.6666666666
electrical,delay,1,1,0,0,83058.56643518519,83058.56643518519
electrical,repair,1,1,261938,0,8975.0,270913.0
gearbox,delay,1,1,0,0,24664834.624305554,24664834.624305554
gearbox,repair,1,1,19041332,0,1839385.9104166667,20880717.910416666
generator,delay,1,1,0,0,8028805.208101852,8028805.208101852
generator,repair,1,1,7642578,0,491390.0,8133968.0
heat_cool,delay,1,1,0,0,1519.9527777777778,1519.9527777777778
heat_cool,repair,1,1,268144,0,1485.8333333333335,269629.8333333333
hub,delay,1,1,0,0,1920359.3219907407,1920359.3219907407
hub,repair,1,1,687150,0,145613.33333333334,832763.3333333334
main_bearing_failures,delay,1,1,0,0,806964.438,806964.438
main_bearing_failures,repair,1,1,360000,0,266716.8,626716.7999999999
main_bearing_maintenance,delay,1,1,0,0,22031.38287037037,22031.38287037037
main_bearing_maintenance,maintenance,1,1,7080000,0,8850.0,7088850.0
oil,delay,1,1,0,0,4148.205324074074,4148.205324074074
oil,repair,1,1,277103,0,3086.6666666666665,280189.6666666666
other,delay,1,1,0,0,45483.24907407407,45483.24907407407
other,repair,1,1,746200,0,14682.5,760882.5
pitch,delay,1,1,0,0,19204.64421296296,19204.64421296296
pitch,repair,1,1,1531430,0,17038.333333333332,1548468.3333333335
power_supply,delay,1,1,0,0,581650.0979166667,581650.0979166667
power_supply,repair,1,1,1469420,0,56466.666666666664,1525886.6666666665
pump_motor,delay,1,1,0,0,2916.5152777777776,2916.5152777777776
pump_motor,repair,1,1,517582,0,2388.333333333333,519970.3333333334
relay,delay,1,1,0,0,630005.5956018518,630005.5956018518
relay,repair,1,1,725499,0,51148.333333333336,776647.3333333334
safety,delay,1,1,0,0,1412.3953703703703,1412.3953703703703
safety,repair,1,1,154134,0,1073.3333333333333,155207.3333333333
sensors,delay,1,1,0,0,4477.388657407408,4477.388657407408
sensors,repair,1,1,658634,0,3653.333333333333,662287.3333333334
service_items,delay,1,1,0,0,1284.138425925926,1284.138425925926
service_items,repair,1,1,33948,0,1294.1666666666667,35242.16666666667
tower_substructure,delay,1,1,0,0,1361.5979166666666,1361.5979166666666
tower_substructure,repair,1,1,328049,0,967.5,329016.5
transformer,delay,1,1,0,0,975.8162037037036,975.8162037037036
transformer,maintenance,1,1,4176,0,580.0,4756.0
transformer,repair,1,1,3450,0,60.0,3510.0
xformer,delay,1,1,0,0,919.9777777777778,919.9777777777778
xformer,repair,1,1,153473,0,964.1666666666667,154437.1666666667
yaw,delay,1,1,0,0,139559.1298611111,139559.1298611111
yaw,repair,1,1,159703,0,9263.333333333334,168966.33333333334
blades,delay,2,2,0,0,7012.353472222222,7012.353472222222
blades,repair,2,2,280413,0,6722.5,287135.5
controls,delay,2,2,0,0,28021.57199074074,28021.57199074074
controls,repair,2,2,577238,0,9190.0,586428.0
electrical,delay,2,2,0,0,19960.503703703704,19960.503703703704
electrical,repair,2,2,243661,0,6312.5,249973.5
gearbox,delay,2,2,0,0,26400617.19699074,26400617.19699074
gearbox,repair,2,2,19403417,0,1863546.4583333333,21266963.458333332
generator,delay,2,2,0,0,7696878.488425926,7696878.488425926
generator,repair,2,2,7482296,0,490361.6666666667,7972657.666666667
heat_cool,delay,2,2,0,0,1433.286574074074,1433.286574074074
heat_cool,repair,2,2,288752,0,1600.0,290352.0
hub,delay,2,2,0,0,1119640.6050925925,1119640.6050925925
hub,repair,2,2,439513,0,52460.0,491973.0
main_bearing_failures,delay,2,2,0,0,1040620.644,1040620.644
main_bearing_failures,repair,2,2,240000,0,177811.2,417811.19999999995
main_bearing_maintenance,delay,2,2,0,0,21418.90509259259,21418.90509259259
main_bearing_maintenance,maintenance,2,2,7084000,0,8855.0,7092855.0
oil,delay,2,2,0,0,2895.714351851852,2895.714351851852
oil,repair,2,2,256389,0,2926.6666666666665,259315.66666666666
