run,random_seed,time_based_availability,production_based_availability
1,1,0.9605628011336915,0.9080605310620435
2,2,0.9615082505831289,0.9167766973582567
3,3,0.9601312208529019,0.9130709265483102
4,4,0.9605285764371505,0.9153313163201893
5,5,0.9607289997511385,0.9154097734684734
6,6,0.9605576269081672,0.9143728064917723
7,7,0.9610537914979121,0.914049012521195
8,8,0.9606263256615154,0.915603544007091
9,9,0.9607408443637847,0.9131031107778141
10,10,0.9602573971476178,0.9141509226172848
11,11,0.9604476590307566,0.9226624771308335
12,12,0.960698515458591,0.918718855248333
13,13,0.9603229788976381,0.9138281302739959
14,14,0.9609415170380389,0.9151790346986923
15,15,0.9606315622271063,0.9175830699246325
16,16,0.9603881242671926,0.9162553220684672
17,17,0.9612276579435458,0.9103695847748499
18,18,0.9605436003931913,0.916874008485002
19,19,0.9605939711669711,0.9177406117777004
20,20,0.960558063288633,0.9192723014703742
21,21,0.9612288424048104,0.9148144940037786
22,22,0.9606605503580564,0.9110531726821789
23,23,0.960026115500683,0.9196935921564566
24,24,0.9603481642845281,0.9186814542677113
25,25,0.9606698390279738,0.9236442417344313
