run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,5104968.0,0.0,1457871.0488425926,0,818231,7381070.048842592
1,1,2018,5104968.0,0.0,1695990.1222222222,0,1583901,8384859.122222222
1,1,2019,5104968.0,0.0,1695990.9342592594,0,1287539,8088497.934259259
1,1,2020,5118954.21369863,0.0,1699831.4525462964,0,1635163,8453948.666244926
1,1,2021,5104968.0,0.0,1401598.4284722223,0,802479,7309045.428472223
1,1,2022,5104968.0,0.0,1695990.2518518518,0,1076216,7877174.251851852
1,1,2023,5104968.0,0.0,1548793.9043981482,0,1732037,8385798.904398148
1,1,2024,5118954.21369863,0.0,1699830.1560185186,0,1417368,8236152.369717149
1,1,2025,5104968.0,0.0,1548794.6446759258,0,1198657,7852419.644675925
1,1,2026,5104968.0,0.0,1695989.5907407408,0,1515990,8316947.59074074
1,1,2027,5104968.0,0.0,1695989.9844907408,0,935036,7735993.984490741
1,1,2028,5118954.21369863,0.0,1699830.2648148148,0,1388475,8207259.478513445
1,1,2029,5104968.0,0.0,1548794.2435185185,0,1446447,8100209.243518518
1,1,2030,5104968.0,0.0,1695990.602314815,0,1031161,7832119.602314815
1,1,2031,5104968.0,0.0,1695988.9372685186,0,1233207,8034163.937268519
1,1,2032,5118954.21369863,0.0,1552634.0914351852,0,896294,7567882.305133816
1,1,2033,5104968.0,0.0,1695990.1958333333,0,1358164,8159122.195833333
1,1,2034,5104968.0,0.0,1695990.0631944444,0,1342145,8143103.063194444
1,1,2035,5104968.0,0.0,1695990.9710648148,0,1105063,7906021.971064815
1,1,2036,5118954.21369863,0.0,1552633.7145833333,0,1188331,7859918.928281964
1,1,2037,5104968.0,0.0,1695989.875925926,0,1245264,8046221.8759259265
1,1,2038,5104968.0,0.0,1548793.6372685186,0,858148,7511909.637268519
1,1,2039,5104968.0,0.0,1695990.2837962962,0,857003,7657961.283796296
1,1,2040,5118954.21369863,0.0,1699830.0046296297,0,950484,7769268.21832826
1,1,2041,5104968.0,0.0,1548794.6418981482,0,1516945,8170707.641898148
1,1,2042,5104968.0,0.0,1695444.5782407408,0,1567545,8367957.578240741
1,1,2043,5104968.0,0.0,1548795.4284722223,0,1190831,7844594.428472223
1,1,2044,5118954.21369863,0.0,1847024.5650462962,0,1312413,8278391.778744927
1,1,2045,5104968.0,0.0,1548794.3013888889,0,819765,7473527.301388889
1,1,2046,5104968.0,0.0,1843186.0298611112,0,1194682,8142836.029861111
2,2,2017,5104968.0,0.0,1426694.048611111,0,782968,7314630.048611111
2,2,2018,5104968.0,0.0,1695989.905787037,0,1558077,8359034.905787037
2,2,2019,5104968.0,0.0,1695991.3949074075,0,1345462,8146421.394907407
2,2,2020,5118954.21369863,0.0,1699829.8824074075,0,1651739,8470523.096106037
2,2,2021,5104968.0,0.0,1548794.835185185,0,847305,7501067.835185185
2,2,2022,5104968.0,0.0,1695989.7303240742,0,1250846,8051803.730324075
2,2,2023,5104968.0,0.0,1548793.5837962963,0,1484930,8138691.583796296
2,2,2024,5118954.21369863,0.0,1699829.714351852,0,1538383,8357166.928050483
2,2,2025,5104968.0,0.0,1401598.3682870371,0,536920,7043486.368287037
2,2,2026,5104968.0,0.0,1695990.7050925926,0,1667320,8468278.705092592
2,2,2027,5104968.0,0.0,1695990.0972222222,0,1108411,7909369.097222222
2,2,2028,5118954.21369863,0.0,1699828.0650462962,0,1181924,8000706.278744927
2,2,2029,5104968.0,0.0,1695990.6990740742,0,1670802,8471760.699074075
2,2,2030,5104968.0,0.0,1548793.20625,0,1269520,7923281.20625
2,2,2031,5104968.0,0.0,1548793.437962963,0,1225758,7879519.437962963
2,2,2032,5118954.21369863,0.0,1699829.3152777778,0,1290301,8109084.528976408
2,2,2033,5104968.0,0.0,1695991.1824074073,0,850987,7651946.182407407
2,2,2034,5104968.0,0.0,1843186.2583333333,0,1658619,8606773.258333333
2,2,2035,5104968.0,0.0,1548794.475925926,0,1058070,7711832.475925926
2,2,2036,5118954.21369863,0.0,1699830.6631944445,0,1222161,8040945.876893075
2,2,2037,5104968.0,0.0,1548793.5881944445,0,1180982,7834743.588194445
2,2,2038,5104968.0,0.0,1548794.2842592592,0,1517338,8171100.28425926
2,2,2039,5104968.0,0.0,1695991.1030092593,0,663003,7463962.103009259
2,2,2040,5118954.21369863,0.0,1699830.396527778,0,1068207,7886991.610226408
2,2,2041,5104968.0,0.0,1695990.7034722222,0,1012022,7812980.703472222
2,2,2042,5104968.0,0.0,1548794.1791666667,0,1332892,7986654.179166667
2,2,2043,5104968.0,0.0,1548793.6275462962,0,828789,7482550.627546296
2,2,2044,5118954.21369863,0.0,1699829.8877314816,0,1248946,8067730.101430112
2,2,2045,5104968.0,0.0,1843185.138888889,0,1793650,8741803.138888888
2,2,2046,5104968.0,0.0,1842794.4847222222,0,1240472,8188234.484722222
3,3,2017,5104968.0,0.0,1682270.50625,0,918341,7705579.50625
3,3,2018,5104968.0,0.0,1548795.400925926,0,924490,7578253.400925926
3,3,2019,5104968.0,0.0,1695989.3949074075,0,1117548,7918505.394907407
3,3,2020,5118954.21369863,0.0,1552634.6675925925,0,1186467,7858055.881291223
3,3,2021,5104968.0,0.0,1548793.6972222223,0,966949,7620710.697222223
3,3,2022,5104968.0,0.0,1695990.249074074,0,1642155,8443113.249074074
3,3,2023,5104968.0,0.0,1401598.3368055555,0,977972,7484538.336805556
3,3,2024,5118954.21369863,0.0,1699830.8949074075,0,999866,7818651.108606038
3,3,2025,5104968.0,0.0,1695989.9791666667,0,1381603,8182560.979166667
3,3,2026,5104968.0,0.0,1401598.411574074,0,863228,7369794.411574074
3,3,2027,5104968.0,0.0,1695991.1236111112,0,1622073,8423032.123611111
3,3,2028,5118954.21369863,0.0,1699830.2777777778,0,1246876,8065660.491476408
3,3,2029,5104968.0,0.0,1695990.188425926,0,1394628,8195586.1884259265
3,3,2030,5104968.0,0.0,1548794.6916666667,0,1225316,7879078.691666666
3,3,2031,5104968.0,0.0,1548794.0428240742,0,1183163,7836925.042824075
3,3,2032,5118954.21369863,0.0,1699829.694675926,0,988622,7807405.908374556
3,3,2033,5104968.0,0.0,1695989.8504629629,0,676395,7477352.850462963
3,3,2034,5104968.0,0.0,1843185.129861111,0,1682632,8630785.12986111
3,3,2035,5104968.0,0.0,1548794.1511574073,0,1477508,8131270.151157407
3,3,2036,5118954.21369863,0.0,1699828.782175926,0,1020310,7839092.995874556
3,3,2037,5104968.0,0.0,1695990.4291666667,0,1295047,8096005.429166667
3,3,2038,5104968.0,0.0,1843186.1729166666,0,1212240,8160394.172916667
3,3,2039,5104968.0,0.0,1843185.4356481482,0,1747792,8695945.435648149
3,3,2040,5118954.21369863,0.0,1552633.7965277778,0,1157543,7829131.010226408
3,3,2041,5104968.0,0.0,1548794.9349537038,0,1493028,8146790.934953704
3,3,2042,5104968.0,0.0,1843185.2377314814,0,1391166,8339319.237731481
3,3,2043,5104968.0,0.0,1843186.598148148,0,1455753,8403907.598148149
3,3,2044,5118954.21369863,0.0,1405438.3886574074,0,902603,7426995.602356037
3,3,2045,5104968.0,0.0,1695991.025,0,1590556,8391515.025
3,3,2046,5104968.0,0.0,1695989.7354166666,0,1491928,8292885.735416667
4,4,2017,5104968.0,0.0,1474452.0472222222,0,837564,7416984.047222222
4,4,2018,5104968.0,0.0,1842284.067361111,0,1457843,8405095.06736111
4,4,2019,5104968.0,0.0,1695991.1710648148,0,916445,7717404.171064815
4,4,2020,5118954.21369863,0.0,1552634.7074074075,0,1162971,7834559.921106038
4,4,2021,5104968.0,0.0,1695990.981712963,0,1581513,8382471.981712963
