run,random_seed,year,Large Crane 1,Large Crane 2,Truck 1,Truck 2,Truck 3
1,1,2017,1436032.7375,0.0,7279.435185185185,7279.433564814814,7279.4425925925925
1,1,2018,1163701.15,510390.58125,7299.449537037037,7299.468518518518,7299.472916666667
1,1,2019,1302415.6875,371676.875,7299.453935185185,7299.468981481481,7299.448842592593
1,1,2020,1141333.0875,536540.0,7319.441435185185,7319.457638888889,7319.465972222222
1,1,2021,1379700.0,0.0,7299.483333333334,7299.4944444444445,7299.450694444445
1,1,2022,1329623.15625,344468.75,7299.457407407407,7299.449305555556,7299.438888888889
1,1,2023,866013.75,660881.83125,7299.449537037037,7299.440046296296,7299.433564814814
1,1,2024,1155432.6625,522439.1125,7319.466666666666,7319.456712962963,7319.457638888889
1,1,2025,1201343.78125,325552.5,7299.467129629629,7299.466203703703,7299.430092592593
1,1,2026,1201265.075,472826.13125,7299.477083333333,7299.446990740741,7299.460416666667
1,1,2027,1132712.63125,541378.96875,7299.4530092592595,7299.461111111111,7299.47037037037
1,1,2028,1249341.3375,428530.525,7319.452314814815,7319.4849537037035,7319.465046296296
1,1,2029,1051036.875,475859.0125,7299.454629629629,7299.458333333333,7299.4430555555555
1,1,2030,1197602.675,476489.58125,7299.441435185185,7299.4636574074075,7299.440972222222
1,1,2031,1201264.1125,472826.48125,7299.444675925926,7299.44537037037,7299.453472222222
1,1,2032,1110505.175,420170.625,7319.394212962963,7319.452777777778,7319.444444444444
1,1,2033,1197090.84375,477001.01875,7299.443981481481,7299.4375,7299.451851851852
1,1,2034,1245560.8125,428530.875,7299.44837962963,7299.472222222222,7299.455092592592
1,1,2035,1340491.4,333601.25,7299.431018518519,7299.466666666666,7299.423379629629
1,1,2036,1085214.375,445460.94375,7319.481481481482,7319.454166666666,7319.460185185185
1,1,2037,641701.525,1032389.9875,7299.458796296296,7299.432175925926,7299.472453703704
1,1,2038,1525517.19375,1378.125,7299.428472222222,7299.446296296296,7299.443749999999
1,1,2039,1438613.2,235478.75,7299.450231481482,7299.4430555555555,7299.440509259259
1,1,2040,1095148.35625,582723.2875,7319.457407407407,7319.4425925925925,7319.46087962963
1,1,2041,798052.5,728843.78125,7299.478472222222,7299.436805555555,7299.44537037037
1,1,2042,1080189.09375,593357.11875,7299.472685185185,7299.420138888889,7299.472916666667
1,1,2043,1155113.59375,371783.475,7299.455787037037,7299.451157407408,7299.452777777778
1,1,2044,680332.95,1144733.26875,7319.459027777778,7319.429861111111,7319.457407407407
1,1,2045,1295489.05625,231406.875,7299.457407407407,7299.452314814815,7299.460416666667
1,1,2046,694548.2,1126739.50625,7299.4430555555555,7299.428240740741,7299.452314814815
2,2,2017,1404855.65625,0.0,7279.46412037037,7279.453472222222,7279.474768518518
2,2,2018,1163543.34375,510548.2125,7299.470833333333,7299.452083333334,7299.42662037037
2,2,2019,1302416.16875,371676.875,7299.44537037037,7299.444675925926,7299.461111111111
2,2,2020,1141331.5125,536540.0,7319.464814814814,7319.455787037037,7319.449305555556
2,2,2021,1020875.625,506020.83125,7299.4625,7299.456712962963,7299.459722222222
2,2,2022,1154920.56875,519170.8125,7299.456018518518,7299.447222222222,7299.445833333333
2,2,2023,1128420.23125,398475.0,7299.453935185185,7299.4532407407405,7299.44537037037
2,2,2024,1171413.8375,506457.5,7319.451157407408,7319.46574074074,7319.459953703704
2,2,2025,1379700.0,0.0,7299.460416666667,7299.451157407408,7299.456712962963
2,2,2026,1193389.50625,480702.79375,7299.472685185185,7299.471759259259,7299.460648148148
2,2,2027,1390693.60625,283398.125,7299.4525462962965,7299.455555555555,7299.45787037037
2,2,2028,1083335.24375,594534.43125,7319.444675925926,7319.477314814814,7319.468055555555
2,2,2029,1155979.8,518112.5,7299.467592592592,7299.4638888888885,7299.467592592592
2,2,2030,1081591.875,445302.9625,7299.454629629629,7299.447916666667,7299.466203703703
2,2,2031,1227841.975,299053.125,7299.441666666667,7299.437731481481,7299.458564814815
2,2,2032,1080142.19375,597728.75,7319.4525462962965,7319.469907407407,7319.449074074074
2,2,2033,1423891.71875,250201.10625,7299.448148148148,7299.456944444444,7299.452314814815
