subassembly,task,run,random_seed,total_requests,canceled_requests,incomplete_requests,completed_requests
array cable,none,1,1,1,0,0,1
blades,major repair,1,1,26,0,0,26
blades,major replacement,1,1,2,0,1,1
blades,minor repair,1,1,925,0,0,925
controls,major repair,1,1,94,0,0,94
controls,minor repair,1,1,652,0,0,652
electrical,major repair,1,1,33,0,0,33
electrical,major replacement,1,1,5,1,2,2
electrical,minor repair,1,1,734,0,0,734
gearbox,major repair,1,1,56,0,0,56
gearbox,major replacement,1,1,344,217,76,51
gearbox,minor repair,1,1,740,0,0,740
generator,major repair,1,1,651,1,0,650
generator,major replacement,1,1,80,21,28,31
generator,minor repair,1,1,991,0,0,991
heat_cool,major repair,1,1,14,0,0,14
heat_cool,minor repair,1,1,367,0,0,367
hub,major repair,1,1,52,0,0,52
hub,major replacement,1,1,4,0,1,3
hub,minor repair,1,1,335,0,0,335
main_bearing_failures,major repair,1,1,6,0,0,6
main_bearing_maintenance,minor scheduled repair,1,1,250,0,0,250
oil,major repair,1,1,15,0,0,15
oil,minor repair,1,1,827,0,0,827
other,major repair,1,1,104,0,0,104
other,major replacement,1,1,2,0,2,0
other,minor repair,1,1,1711,0,0,1711
pitch,major repair,1,1,341,0,0,341
pitch,minor repair,1,1,1551,0,1,1550
power_supply,major repair,1,1,178,0,0,178
power_supply,major replacement,1,1,12,1,4,7
power_supply,minor repair,1,1,139,0,0,139
pump_motor,major repair,1,1,89,0,0,89
pump_motor,minor repair,1,1,529,0,0,529
relay,major repair,1,1,91,0,0,91
relay,major replacement,1,1,3,0,2,1
relay,minor repair,1,1,669,0,0,669
safety,major repair,1,1,7,0,0,7
safety,minor repair,1,1,673,0,0,673
sensors,major repair,1,1,148,0,0,148
sensors,minor repair,1,1,496,0,0,496
service_items,major repair,1,1,3,0,0,3
service_items,minor repair,1,1,221,0,0,221
tower_substructure,major repair,1,1,159,0,0,159
tower_substructure,minor repair,1,1,160,0,0,160
transformer,annual inspection,1,1,29,0,0,29
transformer,minor repair,1,1,6,0,0,6
xformer,major repair,1,1,6,0,0,6
xformer,major replacement,1,1,2,0,1,1
xformer,minor repair,1,1,105,0,0,105
yaw,major repair,1,1,15,0,0,15
yaw,major replacement,1,1,2,0,0,2
yaw,minor repair,1,1,310,0,0,310
blades,major repair,2,2,18,0,0,18
blades,minor repair,2,2,927,0,0,927
controls,major repair,2,2,91,0,0,91
controls,major replacement,2,2,2,0,1,1
controls,minor repair,2,2,655,0,0,655
electrical,major repair,2,2,33,0,0,33
electrical,major replacement,2,2,7,0,5,2
electrical,minor repair,2,2,759,0,0,759
gearbox,major repair,2,2,74,0,0,74
gearbox,major replacement,2,2,283,160,68,55
gearbox,minor repair,2,2,712,0,0,712
generator,major repair,2,2,613,0,1,612
generator,major replacement,2,2,108,33,43,32
generator,minor repair,2,2,934,0,1,933
heat_cool,major repair,2,2,10,0,0,10
heat_cool,minor repair,2,2,389,0,0,389
hub,major repair,2,2,89,0,1,88
hub,major replacement,2,2,2,0,1,1
hub,minor repair,2,2,308,0,0,308
main_bearing_failures,major repair,2,2,5,0,0,5
main_bearing_maintenance,minor scheduled repair,2,2,254,0,0,254
oil,major repair,2,2,11,0,0,11
oil,minor repair,2,2,858,0,0,858
other,major repair,2,2,94,0,0,94
other,major replacement,2,2,1,0,0,1
other,minor repair,2,2,1642,0,0,1642
pitch,major repair,2,2,345,0,0,345
pitch,major replacement,2,2,1,0,0,1
pitch,minor repair,2,2,1533,0,0,1533
power_supply,major repair,2,2,167,0,0,167
power_supply,major replacement,2,2,11,0,7,4
power_supply,minor repair,2,2,138,0,0,138
pump_motor,major repair,2,2,77,0,0,77
pump_motor,minor repair,2,2,494,0,0,494
relay,major repair,2,2,100,0,0,100
relay,major replacement,2,2,1,0,0,1
relay,minor repair,2,2,653,0,0,653
safety,major repair,2,2,7,0,0,7
safety,minor repair,2,2,647,0,0,647
sensors,major repair,2,2,116,0,0,116
sensors,minor repair,2,2,489,0,0,489
service_items,major repair,2,2,2,0,0,2
service_items,minor repair,2,2,203,0,0,203
tower_substructure,major repair,2,2,173,0,0,173
tower_substructure,minor repair,2,2,193,0,0,193
transformer,annual inspection,2,2,29,0,0,29
transformer,minor repair,2,2,1,0,0,1
xformer,major repair,2,2,5,0,0,5
xformer,major replacement,2,2,2,0,2,0
xformer,minor repair,2,2,107,0,0,107
yaw,major repair,2,2,12,0,0,12
yaw,major replacement,2,2,3,0,1,2
yaw,minor repair,2,2,330,0,0,330
blades,major repair,3,3,22,0,0,22
blades,major replacement,3,3,2,0,1,1
blades,minor repair,3,3,872,0,0,872
controls,major repair,3,3,86,0,0,86
controls,major replacement,3,3,3,0,0,3
controls,minor repair,3,3,707,0,0,707
electrical,major repair,3,3,42,0,0,42
electrical,major replacement,3,3,2,0,1,1
electrical,minor repair,3,3,754,0,0,754
gearbox,major repair,3,3,81,0,0,81
gearbox,major replacement,3,3,299,178,68,53
gearbox,minor repair,3,3,791,1,0,790
generator,major repair,3,3,650,1,0,649
generator,major replacement,3,3,104,33,41,30
generator,minor repair,3,3,989,1,0,988
heat_cool,major repair,3,3,9,0,0,9
heat_cool,minor repair,3,3,360,0,0,360
hub,major repair,3,3,71,0,0,71
hub,major replacement,3,3,1,0,0,1
hub,minor repair,3,3,351,0,0,351
main_bearing_failures,major repair,3,3,15,0,0,15
main_bearing_maintenance,minor scheduled repair,3,3,251,0,0,251
oil,major repair,3,3,14,0,0,14
oil,minor repair,3,3,814,0,0,814
other,major repair,3,3,97,0,0,97
other,major replacement,3,3,3,0,2,1
other,minor repair,3,3,1666,0,0,1666
pitch,major repair,3,3,342,0,0,342
pitch,major replacement,3,3,3,0,2,1
pitch,minor repair,3,3,1598,0,1,1597
power_supply,major repair,3,3,159,0,1,158
power_supply,major replacement,3,3,12,0,6,6
power_supply,minor repair,3,3,169,0,0,169
pump_motor,major repair,3,3,64,0,0,64
pump_motor,minor repair,3,3,549,0,0,549
relay,major repair,3,3,121,0,0,121
relay,major replacement,3,3,4,0,2,2
relay,minor repair,3,3,629,0,0,629
safety,major repair,3,3,13,0,0,13
safety,minor repair,3,3,642,0,0,642
sensors,major repair,3,3,133,0,0,133
sensors,minor repair,3,3,533,0,0,533
service_items,major repair,3,3,1,0,0,1
service_items,minor repair,3,3,211,0,0,211
tower_substructure,major repair,3,3,158,0,0,158
tower_substructure,minor repair,3,3,143,0,0,143
transformer,annual inspection,3,3,29,0,0,29
transformer,minor repair,3,3,9,0,0,9
xformer,major repair,3,3,7,0,0,7
xformer,major replacement,3,3,2,0,1,1
xformer,minor repair,3,3,101,0,1,100
yaw,major repair,3,3,11,0,0,11
yaw,minor repair,3,3,329,0,0,329
blades,major repair,4,4,10,0,0,10
blades,major replacement,4,4,3,0,2,1
blades,minor repair,4,4,907,0,0,907
controls,major repair,4,4,95,0,0,95
controls,major replacement,4,4,3,0,2,1
controls,minor repair,4,4,681,0,0,681
electrical,major repair,4,4,29,0,0,29
electrical,major replacement,4,4,5,0,3,2
electrical,minor repair,4,4,767,0,0,767
gearbox,major repair,4,4,79,0,1,78
gearbox,major replacement,4,4,311,183,78,50
gearbox,minor repair,4,4,749,1,0,748
generator,major repair,4,4,606,0,0,606
generator,major replacement,4,4,100,22,35,43
generator,minor repair,4,4,921,1,0,920
heat_cool,major repair,4,4,13,0,0,13
heat_cool,minor repair,4,4,355,0,0,355
hub,major repair,4,4,80,0,0,80
hub,major replacement,4,4,6,0,3,3
hub,minor repair,4,4,326,0,0,326
main_bearing_failures,major repair,4,4,9,0,0,9
main_bearing_maintenance,minor scheduled repair,4,4,244,0,0,244
oil,major repair,4,4,15,0,0,15
oil,minor repair,4,4,828,0,0,828
other,major repair,4,4,83,0,0,83
other,major replacement,4,4,2,0,1,1
other,minor repair,4,4,1665,0,1,1664
pitch,major repair,4,4,337,0,0,337
pitch,major replacement,4,4,1,0,0,1
pitch,minor repair,4,4,1470,0,1,1469
power_supply,major repair,4,4,163,0,0,163
power_supply,major replacement,4,4,17,0,8,9
power_supply,minor repair,4,4,129,0,0,129
pump_motor,major repair,4,4,87,0,0,87
pump_motor,minor repair,4,4,552,0,0,552
relay,major repair,4,4,120,0,0,120
relay,major replacement,4,4,2,0,1,1
relay,minor repair,4,4,655,0,0,655
safety,major repair,4,4,8,0,0,8
safety,minor repair,4,4,698,0,0,698
sensors,major repair,4,4,139,0,0,139
sensors,minor repair,4,4,493,0,0,493
service_items,major repair,4,4,1,0,0,1
service_items,minor repair,4,4,250,0,0,250
tower_substructure,major repair,4,4,142,0,0,142
tower_substructure,minor repair,4,4,163,0,0,163
transformer,annual inspection,4,4,29,0,0,29
transformer,minor repair,4,4,9,0,0,9
xformer,major repair,4,4,6,0,0,6
xformer,minor repair,4,4,101,0,0,101
