run,random_seed,year,Large Crane 1,Large Crane 2,Large Crane for MB,Truck 1,Truck 2,Truck 3
1,1,2017,1381116.38125,0.0,0.0,7279.462037037037,7279.435185185185,7279.425925925926
1,1,2018,1163700.45,510391.4125,0.0,7299.464814814814,7299.428935185185,7299.459722222222
1,1,2019,1204094.825,469996.25,0.0,7299.4875,7299.461805555556,7299.474999999999
1,1,2020,1383480.0,0.0,0.0,7319.464814814814,7319.459722222222,7319.438888888889
1,1,2021,1098260.03125,575831.7,0.0,7299.45,7299.435648148148,7299.468981481481
1,1,2022,1193389.50625,480702.225,0.0,7299.472453703704,7299.4537037037035,7299.471064814815
1,1,2023,1219534.59375,454557.1375,0.0,7299.441666666667,7299.439583333333,7299.449074074074
1,1,2024,1147517.89375,530354.1,0.0,7319.460185185185,7319.4837962962965,7319.468055555555
1,1,2025,1291787.5875,382303.96875,0.0,7299.462037037037,7299.47962962963,7299.450925925926
1,1,2026,832033.125,677380.48125,0.0,7299.439814814815,7299.458101851852,7299.481018518519
1,1,2027,1215715.65625,475859.275,0.0,7299.444907407407,7299.456712962963,7299.438888888889
1,1,2028,1287692.325,242983.125,0.0,7319.43912037037,7319.46087962963,7319.44212962963
1,1,2029,940996.7625,733095.8,0.0,7299.46087962963,7299.470138888889,7299.428703703704
1,1,2030,997656.73125,823630.75625,0.0,7299.461805555556,7299.446527777777,7299.437268518518
1,1,2031,739392.43125,934699.08125,0.0,7299.465972222222,7299.462037037037,7299.435648148148
1,1,2032,1038719.69375,491956.325,757613.367,7319.472916666667,7319.422916666666,7319.4428240740735
1,1,2033,943905.65625,877382.75,0.0,7299.459953703704,7299.469212962963,7299.462037037037
1,1,2034,1064826.5875,462069.125,0.0,7299.468055555555,7299.452777777778,7299.450925925926
1,1,2035,1122277.90625,551813.95625,0.0,7299.42962962963,7299.451620370371,7299.4375
1,1,2036,1287495.7125,390375.93125,0.0,7319.4525462962965,7319.456018518518,7319.431712962963
1,1,2037,823145.94375,998141.7625,0.0,7299.449537037037,7299.472916666667,7299.477314814815
1,1,2038,1151727.7375,522363.425,0.0,7299.434259259259,7299.450462962963,7299.440509259259
1,1,2039,1212013.925,462077.675,0.0,7299.443981481481,7299.461111111111,7299.446759259259
1,1,2040,1193233.31875,337443.75,0.0,7319.435185185185,7319.475925925926,7319.471296296296
1,1,2041,1288519.8125,385571.175,0.0,7299.439351851852,7299.473611111111,7299.460648148148
1,1,2042,1381996.9375,292095.23125,0.0,7299.478009259259,7299.465046296296,7299.438194444444
1,1,2043,1283716.10625,390375.1,0.0,7299.4636574074075,7299.476851851852,7299.467129629629
1,1,2044,1319310.1875,358561.15,0.0,7319.465277777777,7319.485879629629,7319.45625
1,1,2045,1302497.325,371594.275,0.0,7299.439351851852,7299.489814814815,7299.465046296296
1,1,2046,1321157.1375,352934.375,0.0,7299.440277777778,7299.443749999999,7299.438194444444
2,2,2017,1495238.0375,0.0,,7279.470138888889,7279.467592592592,7279.449305555556
2,2,2018,1294858.925,379231.58125,,7299.423611111111,7299.437037037037,7299.43287037037
2,2,2019,1071839.975,602252.19375,,7299.4532407407405,7299.456018518518,7299.479398148148
2,2,2020,1147793.825,530078.08125,,7319.436805555555,7319.458101851852,7319.468055555555
2,2,2021,1213229.86875,460861.25,,7299.444444444444,7299.471527777778,7299.483101851852
2,2,2022,1193385.13125,480706.25,,7299.4643518518515,7299.441435185185,7299.444675925925
2,2,2023,1381996.36875,292095.275,,7299.437268518518,7299.479166666666,7299.415277777777
2,2,2024,849445.5125,975622.4125,,7319.4631944444445,7319.451157407408,7319.435648148148
2,2,2025,907010.66875,767081.0625,,7299.43449074074,7299.45,7299.455787037037
2,2,2026,935443.88125,738647.98125,,7299.4625,7299.4537037037035,7299.435648148148
2,2,2027,1091014.4625,435881.25,,7299.4643518518515,7299.477083333333,7299.443518518518
2,2,2028,1333402.45625,344468.75,,7319.4425925925925,7319.474999999999,7319.408333333333
2,2,2029,866013.75,643083.71875,,7299.449074074074,7299.489814814815,7299.440046296296
2,2,2030,1336331.31875,502751.0,,7299.46087962963,7299.452314814815,7299.447453703704
2,2,2031,949134.375,577761.5125,,7299.446296296296,7299.446990740741,7299.458333333333
