run,random_seed,time_based_availability,production_based_availability
1,1,0.9607672765520058,0.9137029442014861
2,2,0.9610151406566454,0.9193337813308874
3,3,0.9601092148094065,0.9161170913113221
4,4,0.9608803614327442,0.9239015625375472
5,5,0.9611595825908631,0.9197539996738957
6,6,0.9601790980240194,0.9162719470800368
7,7,0.9607976985044867,0.9207459910025181
8,8,0.9602625713731422,0.9210442099631263
9,9,0.9603510942676563,0.9176339561153083
10,10,0.9611247968337231,0.9140104058697485
11,11,0.9602833306153065,0.9115753889974619
12,12,0.9602438070131079,0.9095437023262012
13,13,0.9612230447786204,0.9201530864842937
14,14,0.9596515763807951,0.9140060092251613
15,15,0.9605149863026405,0.9163823718930862
16,16,0.9603445485606676,0.9128726361630459
17,17,0.9599907063428773,0.9157963797396628
18,18,0.9600036730767216,0.9219230932497706
19,19,0.9603057106992012,0.9140501029789271
20,20,0.9604868709326223,0.912414953464984
21,21,0.9607028792632502,0.9158021245953198
22,22,0.9598062420859286,0.9128515787373678
23,23,0.9600448798607173,0.917160877836608
24,24,0.9589400268610879,0.9123054280762549
25,25,0.9603270310019645,0.9145080995276625
