run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,5104968.0,0.0,1402954.7043981482,0,842533,7350455.704398148
1,1,2018,5104968.0,0.0,1695990.2159722222,0,1528590,8329548.215972222
1,1,2019,5104968.0,0.0,1695989.4909722223,0,1684995,8485952.490972223
1,1,2020,5118954.21369863,0.0,2393431.448564815,0,869370,8381755.662263446
1,1,2021,5104968.0,0.0,1695991.0333333334,0,1536224,8337183.033333333
1,1,2022,5104968.0,0.0,1695988.2625,0,1748648,8549604.2625
1,1,2023,5104968.0,0.0,1695990.2023148148,0,1422314,8223272.202314815
1,1,2024,5118954.21369863,0.0,1405438.3761574074,0,785508,7309900.589856038
1,1,2025,5104968.0,0.0,1843184.8055555555,0,1566659,8514811.805555556
1,1,2026,5104968.0,0.0,1548794.088425926,0,848328,7502090.088425926
1,1,2027,5104968.0,0.0,1695990.0497685184,0,1238865,8039823.049768519
1,1,2028,5118954.21369863,0.0,1699830.2712962963,0,1355689,8174473.4849949265
1,1,2029,5104968.0,0.0,1548794.3192129629,0,1362738,8016500.319212963
1,1,2030,5104968.0,0.0,1548794.2074074075,0,553598,7207360.207407407
1,1,2031,5104968.0,0.0,1990379.0363425924,0,1339212,8434559.036342593
1,1,2032,5118954.21369863,0.0,1552634.4409722222,0,648477,7320065.654670852
1,1,2033,5104968.0,0.0,2661285.6870833333,0,1486926,9253179.687083334
1,1,2034,5104968.0,0.0,1695989.6995370372,0,1666726,8467683.699537037
1,1,2035,5104968.0,0.0,1695989.6636574075,0,1426835,8227792.663657407
1,1,2036,5118954.21369863,0.0,1699828.2513888888,0,1373230,8192012.465087519
1,1,2037,5104968.0,0.0,1695990.849074074,0,1091569,7892527.849074074
1,1,2038,5104968.0,0.0,1401598.335648148,0,820720,7327286.335648148
1,1,2039,5104968.0,0.0,1695990.8532407407,0,1138889,7939847.8532407405
1,1,2040,5118954.21369863,0.0,1699830.6872685186,0,1647263,8466047.900967149
1,1,2041,5104968.0,0.0,1548794.449537037,0,1302013,7955775.449537037
1,1,2042,5104968.0,0.0,1548793.8666666667,0,847130,7500891.866666667
1,1,2043,5104968.0,0.0,1695991.008564815,0,1352376,8153335.008564815
1,1,2044,5118954.21369863,0.0,1699830.3539351851,0,1319864,8138648.567633815
1,1,2045,5104968.0,0.0,1843185.7578703703,0,823547,7771700.7578703705
1,1,2046,5104968.0,0.0,3577159.7840925925,0,1328087,10010214.784092592
2,2,2017,5104968.0,0.0,1517076.424537037,0,797242,7419286.424537037
2,2,2018,5104968.0,0.0,1695988.7997685184,0,1329645,8130601.799768519
2,2,2019,5104968.0,0.0,1695990.5574074073,0,1130955,7931913.557407407
2,2,2020,5118954.21369863,0.0,1699830.269212963,0,1570607,8389391.482911594
2,2,2021,5104968.0,0.0,1695989.517824074,0,1629725,8430682.517824074
2,2,2022,5104968.0,0.0,1695989.731712963,0,1582070,8383027.731712963
2,2,2023,5104968.0,0.0,1695989.9754629629,0,1109439,7910396.975462963
2,2,2024,5118954.21369863,0.0,1847026.275,0,1262967,8228947.48869863
2,2,2025,5104968.0,0.0,1695990.0715277777,0,1301222,8102180.071527777
2,2,2026,5104968.0,0.0,1695990.2143518517,0,1153464,7954422.2143518515
2,2,2027,5104968.0,0.0,1548794.0974537036,0,1593423,8247185.097453704
2,2,2028,5118954.21369863,0.0,1699829.532175926,0,757366,7576149.745874556
2,2,2029,5104968.0,0.0,1530995.8476851853,0,1728036,8363999.847685185
2,2,2030,5104968.0,0.0,1860980.679398148,0,1248598,8214546.679398148
2,2,2031,5104968.0,0.0,1548794.2391203705,0,1245902,7899664.239120371
2,2,2032,5118954.21369863,0.0,1847026.5039351853,0,863633,7829613.7176338155
2,2,2033,5104968.0,0.0,1695989.7212962962,0,1071279,7872236.721296296
2,2,2034,5104968.0,0.0,1548795.3655092593,0,1190370,7844133.3655092595
2,2,2035,5104968.0,0.0,1695991.5740740742,0,1590548,8391507.574074075
2,2,2036,5118954.21369863,0.0,1552634.1280092592,0,1562261,8233849.341707889
2,2,2037,5104968.0,0.0,1843186.8335648149,0,810409,7758563.833564815
2,2,2038,5104968.0,0.0,1548794.5217592593,0,1564131,8217893.5217592595
2,2,2039,5104968.0,0.0,1843187.2039351852,0,1400120,8348275.203935185
2,2,2040,5118954.21369863,0.0,1552633.2905092593,0,1670500,8342087.50420789
2,2,2041,5104968.0,0.0,1695990.0784722222,0,1740614,8541572.078472223
2,2,2042,5104968.0,0.0,1548793.9837962962,0,945124,7598885.983796297
2,2,2043,5104968.0,0.0,2426472.9785833335,0,1269662,8801102.978583334
2,2,2044,5118954.21369863,0.0,1699830.181712963,0,1296607,8115391.395411593
2,2,2045,5104968.0,0.0,3245535.6902962965,0,1409690,9760193.690296296
2,2,2046,5104968.0,0.0,1548795.0652777778,0,1245340,7899103.065277778
3,3,2017,5104968.0,0.0,2292833.7678796295,0,970577,8368378.7678796295
3,3,2018,5104968.0,0.0,1695990.4578703702,0,1666256,8467214.45787037
3,3,2019,5104968.0,0.0,1692807.5796296296,0,1202226,8000001.57962963
3,3,2020,5118954.21369863,0.0,1552633.8800925927,0,1332980,8004568.093791223
3,3,2021,5104968.0,0.0,2501380.1861851853,0,1282148,8888496.186185185
3,3,2022,5104968.0,0.0,1548793.8817129629,0,1540990,8194751.881712963
3,3,2023,5104968.0,0.0,1695988.7668981482,0,1245608,8046564.766898148
3,3,2024,5118954.21369863,0.0,1552633.9706018518,0,896049,7567637.184300482
3,3,2025,5104968.0,0.0,1990380.4613425927,0,2112912,9208260.461342592
