subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
blades,delay,1,1,0,0,1921605.054398148,1921605.054398148
blades,repair,1,1,603082,0,98060.83194444445,701142.8319444444
controls,delay,1,1,0,0,96756.48587962963,96756.48587962963
controls,repair,1,1,629354,0,9603.333333333334,638957.3333333334
electrical,delay,1,1,0,0,53880.62800925926,53880.62800925926
electrical,repair,1,1,255316,0,9162.5,264478.5
gearbox,delay,1,1,0,0,26105785.178703703,26105785.178703703
gearbox,repair,1,1,19404225,0,1867195.625,21271420.625
generator,delay,1,1,0,0,6725555.813657408,6725555.813657408
generator,repair,1,1,7093165,0,464005.8333333333,7557170.833333333
heat_cool,delay,1,1,0,0,1455.782175925926,1455.782175925926
heat_cool,repair,1,1,291016,0,1612.5,292628.5
hub,delay,1,1,0,0,5680.765972222222,5680.765972222222
hub,repair,1,1,250573,0,5108.333333333333,255681.33333333334
main_bearing_failures,delay,1,1,0,0,812109.7440740741,812109.7440740741
main_bearing_failures,repair,1,1,1617500,0,148326.0,1765826.0
main_bearing_maintenance,delay,1,1,0,0,3185.816898148148,3185.816898148148
main_bearing_maintenance,maintenance,1,1,622500,0,1245.0,623745.0
oil,delay,1,1,0,0,3751.5393518518517,3751.5393518518517
oil,repair,1,1,252638,0,2958.333333333333,255596.3333333333
other,delay,1,1,0,0,52875.32916666667,52875.32916666667
other,repair,1,1,687018,0,14325.0,701343.0
pitch,delay,1,1,0,0,19094.636342592592,19094.636342592592
pitch,repair,1,1,1485395,0,16490.833333333332,1501885.8333333335
power_supply,delay,1,1,0,0,458257.5222222222,458257.5222222222
power_supply,repair,1,1,1492861,0,47454.166666666664,1540315.1666666665
pump_motor,delay,1,1,0,0,2915.706944444444,2915.706944444444
pump_motor,repair,1,1,584972,0,2571.6666666666665,587543.6666666667
relay,delay,1,1,0,0,741603.0261574074,741603.0261574074
relay,repair,1,1,765666,0,51330.0,816996.0
safety,delay,1,1,0,0,1425.7168981481482,1425.7168981481482
safety,repair,1,1,185212,0,1270.0,186482.0
sensors,delay,1,1,0,0,5177.389583333334,5177.389583333334
sensors,repair,1,1,700321,0,4055.0,704376.0
service_items,delay,1,1,0,0,1854.9393518518518,1854.9393518518518
service_items,repair,1,1,29541,0,1335.8333333333335,30876.833333333336
tower_substructure,delay,1,1,0,0,1029.1210648148149,1029.1210648148149
tower_substructure,repair,1,1,338801,0,1040.8333333333333,339841.8333333334
transformer,delay,1,1,0,0,1061.6604166666666,1061.6604166666666
transformer,maintenance,1,1,4176,0,580.0,4756.0
transformer,repair,1,1,2875,0,50.0,2925.0
xformer,delay,1,1,0,0,709.1509259259259,709.1509259259259
xformer,repair,1,1,33394,0,668.3333333333334,34062.333333333336
yaw,delay,1,1,0,0,267959.925462963,267959.925462963
yaw,repair,1,1,187322,0,24752.5,212074.5
blades,delay,2,2,0,0,8175.670601851852,8175.670601851852
blades,repair,2,2,283988,0,6820.0,290808.0
controls,delay,2,2,0,0,68702.21342592592,68702.21342592592
controls,repair,2,2,582125,0,7888.333333333333,590013.3333333334
electrical,delay,2,2,0,0,235095.6902777778,235095.6902777778
