subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
blades,delay,1,1,0,0,619662.5465277778,619662.5465277778
blades,repair,1,1,600201,0,98122.5,698323.5
controls,delay,1,1,0,0,29755.987962962965,29755.987962962965
controls,repair,1,1,569785,0,7250.0,577035.0
electrical,delay,1,1,0,0,193782.34375,193782.34375
electrical,repair,1,1,270686,0,9200.0,279886.0
gearbox,delay,1,1,0,0,24569135.533796296,24569135.533796296
gearbox,repair,1,1,21656003,0,2092843.3333333333,23748846.333333332
generator,delay,1,1,0,0,9439101.628935184,9439101.628935184
generator,repair,1,1,7845179,0,516664.1666666667,8361843.166666667
heat_cool,delay,1,1,0,0,1903.2912037037036,1903.2912037037036
heat_cool,repair,1,1,276728,0,1533.3333333333335,278261.3333333333
hub,delay,1,1,0,0,6376.612268518518,6376.612268518518
hub,repair,1,1,240568,0,4741.666666666667,245309.66666666666
main_bearing_failures,delay,1,1,0,0,69397.77449074075,69397.77449074075
main_bearing_failures,repair,1,1,927500,0,37194.0,964694.0
main_bearing_maintenance,delay,1,1,0,0,3709.089351851852,3709.089351851852
main_bearing_maintenance,maintenance,1,1,3459000,0,1855.0,3460855.0
oil,delay,1,1,0,0,3531.5671296296296,3531.5671296296296
oil,repair,1,1,250176,0,2900.0,253075.99999999997
other,delay,1,1,0,0,124107.25092592592,124107.25092592592
other,repair,1,1,700660,0,14504.998842592593,715164.9988425926
pitch,delay,1,1,0,0,20347.980787037035,20347.980787037035
pitch,repair,1,1,1531800,0,16942.5,1548742.5
power_supply,delay,1,1,0,0,723770.0916666667,723770.0916666667
power_supply,repair,1,1,1543471,0,65537.5,1609008.5
pump_motor,delay,1,1,0,0,2785.734722222222,2785.734722222222
pump_motor,repair,1,1,548532,0,2391.6666666666665,550923.6666666667
relay,delay,1,1,0,0,89754.4712962963,89754.4712962963
relay,repair,1,1,733783,0,27639.166666666664,761422.1666666666
safety,delay,1,1,0,0,1744.8763888888889,1744.8763888888889
safety,repair,1,1,177232,0,1206.6666666666665,178438.66666666666
sensors,delay,1,1,0,0,4912.39375,4912.39375
sensors,repair,1,1,659290,0,3883.333333333333,663173.3333333334
service_items,delay,1,1,0,0,1925.7833333333333,1925.7833333333333
service_items,repair,1,1,31089,0,1405.8333333333335,32494.833333333336
tower_substructure,delay,1,1,0,0,1312.4331018518517,1312.4331018518517
tower_substructure,repair,1,1,350317,0,1004.1666666666666,351321.1666666667
transformer,delay,1,1,0,0,1111.6585648148148,1111.6585648148148
transformer,maintenance,1,1,4176,0,580.0,4756.0
transformer,repair,1,1,2875,0,50.0,2925.0
xformer,delay,1,1,0,0,708.3291666666667,708.3291666666667
xformer,repair,1,1,32932,0,650.8333333333334,33582.833333333336
yaw,delay,1,1,0,0,180000.79421296297,180000.79421296297
yaw,repair,1,1,187952,0,24619.166666666668,212571.1666666667
blades,delay,2,2,0,0,7727.314351851852,7727.314351851852
blades,repair,2,2,285961,0,6922.5,292883.5
controls,delay,2,2,0,0,68539.68240740741,68539.68240740741
controls,repair,2,2,582445,0,7840.0,590285.0
electrical,delay,2,2,0,0,258354.0199074074,258354.0199074074
electrical,repair,2,2,293996,0,14900.0,308896.0
gearbox,delay,2,2,0,0,27438396.515972223,27438396.515972223
gearbox,repair,2,2,21650763,0,2080233.75,23730996.75
generator,delay,2,2,0,0,5951422.844444444,5951422.844444444
generator,repair,2,2,7138876,0,452313.3333333333,7591189.333333333
heat_cool,delay,2,2,0,0,2447.43125,2447.43125
heat_cool,repair,2,2,310408,0,1720.0,312128.0
hub,delay,2,2,0,0,6754.9319444444445,6754.9319444444445
hub,repair,2,2,276685,0,5366.666666666667,282051.6666666667
main_bearing_failures,delay,2,2,0,0,426.66041666666666,426.66041666666666
main_bearing_failures,repair,2,2,837000,0,180.0,837180.0
main_bearing_maintenance,delay,2,2,0,0,3743.2560185185184,3743.2560185185184
main_bearing_maintenance,maintenance,2,2,3484000,0,1905.0,3485905.0
oil,delay,2,2,0,0,3761.544212962963,3761.544212962963
oil,repair,2,2,255615,0,2970.0,258584.99999999997
other,delay,2,2,0,0,266071.79675925925,266071.79675925925
other,repair,2,2,677938,0,19844.166666666668,697782.1666666666
pitch,delay,2,2,0,0,20503.039814814816,20503.039814814816
pitch,repair,2,2,1627540,0,17182.5,1644722.5
power_supply,delay,2,2,0,0,686716.8921296296,686716.8921296296
power_supply,repair,2,2,1548203,0,47582.5,1595785.5
pump_motor,delay,2,2,0,0,2995.730324074074,2995.730324074074
pump_motor,repair,2,2,543406,0,2478.333333333333,545884.3333333334
relay,delay,2,2,0,0,1444432.5826388889,1444432.5826388889
relay,repair,2,2,718124,0,74678.33333333333,792802.3333333334
safety,delay,2,2,0,0,1651.5407407407406,1651.5407407407406
safety,repair,2,2,159282,0,1189.1666666666665,160471.16666666666
sensors,delay,2,2,0,0,4506.564351851852,4506.564351851852
sensors,repair,2,2,753891,0,4146.666666666666,758037.6666666666
service_items,delay,2,2,0,0,1845.7828703703703,1845.7828703703703
service_items,repair,2,2,32515,0,1390.0,33905.0
tower_substructure,delay,2,2,0,0,1087.451388888889,1087.451388888889
tower_substructure,repair,2,2,351153,0,957.5,352110.5
transformer,delay,2,2,0,0,1143.326388888889,1143.326388888889
transformer,maintenance,2,2,4176,0,580.0,4756.0
transformer,repair,2,2,3450,0,60.0,3510.0
xformer,delay,2,2,0,0,3089.4703703703703,3089.4703703703703
xformer,repair,2,2,146825,0,831.6666666666667,147656.6666666667
yaw,delay,2,2,0,0,175509.11921296295,175509.11921296295
yaw,repair,2,2,155517,0,16822.5,172339.5
blades,delay,3,3,0,0,6860.715277777777,6860.715277777777
blades,repair,3,3,284634,0,6935.0,291569.0
controls,delay,3,3,0,0,6411.528935185185,6411.528935185185
controls,repair,3,3,543280,0,5796.666666666666,549076.6666666666
electrical,delay,3,3,0,0,121353.67361111111,121353.67361111111
electrical,repair,3,3,301919,0,12124.166666666666,314043.1666666666
gearbox,delay,3,3,0,0,30629458.499305554,30629458.499305554
gearbox,repair,3,3,21294358,0,2043445.0,23337803.0
generator,delay,3,3,0,0,4469620.565046296,4469620.565046296
generator,repair,3,3,6523770,0,389146.25,6912916.25
heat_cool,delay,3,3,0,0,1608.2648148148148,1608.2648148148148
heat_cool,repair,3,3,312816,0,1733.3333333333335,314549.3333333333
hub,delay,3,3,0,0,7606.610879629629,7606.610879629629
hub,repair,3,3,285683,0,5566.666666666667,291249.6666666667
main_bearing_failures,delay,3,3,0,0,329030.72412037035,329030.72412037035
main_bearing_failures,repair,3,3,1390000,0,74288.0,1464288.0
main_bearing_maintenance,delay,3,3,0,0,4627.429861111111,4627.429861111111
main_bearing_maintenance,maintenance,3,3,3474000,0,1885.0,3475885.0
oil,delay,3,3,0,0,3460.6828703703704,3460.6828703703704
oil,repair,3,3,249405,0,2996.6666666666665,252401.66666666666
other,delay,3,3,0,0,279921.7659722222,279921.7659722222
other,repair,3,3,719480,0,20155.833333333332,739635.8333333334
pitch,delay,3,3,0,0,19904.660879629628,19904.660879629628
pitch,repair,3,3,1520935,0,16650.833333333332,1537585.8333333335
power_supply,delay,3,3,0,0,181253.71458333335,181253.71458333335
power_supply,repair,3,3,1205152,0,11415.833333333334,1216567.8333333333
pump_motor,delay,3,3,0,0,2790.7430555555557,2790.7430555555557
pump_motor,repair,3,3,532384,0,2338.333333333333,534722.3333333334
relay,delay,3,3,0,0,941950.0284722223,941950.0284722223
relay,repair,3,3,744731,0,51273.333333333336,796004.3333333334
safety,delay,3,3,0,0,1757.3782407407407,1757.3782407407407
safety,repair,3,3,170722,0,1155.0,171877.0
sensors,delay,3,3,0,0,4323.193981481481,4323.193981481481
sensors,repair,3,3,648853,0,3915.0,652768.0
service_items,delay,3,3,0,0,1616.5907407407406,1616.5907407407406
service_items,repair,3,3,28380,0,1283.3333333333335,29663.333333333336
tower_substructure,delay,3,3,0,0,1329.1087962962963,1329.1087962962963
tower_substructure,repair,3,3,306689,0,947.5,307636.5
transformer,delay,3,3,0,0,1002.4949074074074,1002.4949074074074
transformer,maintenance,3,3,4176,0,580.0,4756.0
transformer,repair,3,3,2300,0,40.0,2340.0
xformer,delay,3,3,0,0,1021.6451388888888,1021.6451388888888
xformer,repair,3,3,139997,0,811.6666666666667,140808.66666666666
yaw,delay,3,3,0,0,100522.66064814814,100522.66064814814
yaw,repair,3,3,174710,0,16885.0,191595.0
blades,delay,4,4,0,0,8570.64699074074,8570.64699074074
