run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,5104968.0,0.0,1877093.9495370372,0,1496610,8478671.949537037
1,1,2018,5104968.0,0.0,1285331.093287037,0,1346648,7736947.093287037
1,1,2019,5104968.0,0.0,1843186.085648148,0,1811807,8759961.085648147
1,1,2020,5118954.21369863,0.0,1843331.174074074,0,1798925,8761210.387772704
1,1,2021,5104968.0,0.0,1695988.8451388888,0,1526282,8327238.845138889
1,1,2022,5104968.0,0.0,1990380.5935185186,0,1803834,8899182.593518518
1,1,2023,5104968.0,0.0,1843187.8375,0,2049368,8997523.8375
1,1,2024,5118954.21369863,0.0,1847026.0530092593,0,1336409,8302389.26670789
1,1,2025,5104968.0,0.0,1695991.0358796297,0,1887198,8688157.03587963
1,1,2026,5104968.0,0.0,1843185.6011574075,0,1331503,8279656.601157407
1,1,2027,5104968.0,0.0,1843187.036111111,0,2067108,9015263.03611111
1,1,2028,5118954.21369863,0.0,1994222.1962962963,0,1724456,8837632.409994926
1,1,2029,5104968.0,0.0,1843186.711574074,0,1562612,8510766.711574074
1,1,2030,5104968.0,0.0,1843185.8111111112,0,1543066,8491219.811111111
1,1,2031,5104968.0,0.0,1843187.3780092592,0,1613224,8561379.37800926
1,1,2032,5118954.21369863,0.0,1847025.1921296297,0,2131560,9097539.40582826
1,1,2033,5104968.0,0.0,1695989.8409722222,0,1563886,8364843.840972222
1,1,2034,5104968.0,0.0,1843185.661111111,0,1610572,8558725.66111111
1,1,2035,5104968.0,0.0,1990381.2243055555,0,1921031,9016380.224305555
1,1,2036,5118954.21369863,0.0,1994223.0928240742,0,1633084,8746261.306522705
2,2,2017,5104968.0,0.0,1246915.9576388889,0,1488084,7839967.957638889
2,2,2018,5104968.0,0.0,1695990.450925926,0,1609606,8410564.450925926
2,2,2019,5104968.0,0.0,1843185.592824074,0,2134369,9082522.592824074
2,2,2020,5118954.21369863,0.0,1699830.0090277777,0,1635852,8454636.222726408
2,2,2021,5104968.0,0.0,1843186.8430555556,0,1769730,8717884.843055556
2,2,2022,5104968.0,0.0,1843186.5569444445,0,1953998,8902152.556944445
2,2,2023,5104968.0,0.0,1662915.4685185186,0,1779007,8546890.468518518
2,2,2024,5118954.21369863,0.0,1880099.9497685186,0,1728919,8727973.163467148
2,2,2025,5104968.0,0.0,1843185.6368055556,0,1604410,8552563.636805555
2,2,2026,5104968.0,0.0,1843187.267361111,0,1960322,8908477.267361112
2,2,2027,5104968.0,0.0,1695989.8856481481,0,1669722,8470679.885648148
2,2,2028,5118954.21369863,0.0,1847027.562037037,0,1871412,8837393.775735667
2,2,2029,5104968.0,0.0,1843188.3270833334,0,1863812,8811968.327083334
2,2,2030,5104968.0,0.0,1990189.0087962963,0,1288616,8383773.008796296
2,2,2031,5104968.0,0.0,1843184.4023148147,0,1711586,8659738.402314816
2,2,2032,5118954.21369863,0.0,1847027.4377314814,0,1852316,8818297.651430111
2,2,2033,5104968.0,0.0,1843186.232175926,0,1587604,8535758.232175926
2,2,2034,5104968.0,0.0,1843186.1655092593,0,1652473,8600627.16550926
2,2,2035,5104968.0,0.0,1677330.8993055555,0,2098320,8880618.899305556
2,2,2036,5118954.21369863,0.0,1851866.9824074074,0,1947104,8917925.196106037
