run,random_seed,year,Large Crane 1,Large Crane 2,Truck 1,Truck 2,Truck 3
1,1,2017,1206374.56875,648880.875,7279.505324074074,7279.501388888889,7279.499074074074
1,1,2018,382994.9125,880437.61875,7299.540509259259,7299.503240740741,7299.518287037037
1,1,2019,1332473.8375,488813.69375,7299.514351851852,7299.511342592593,7299.528703703703
1,1,2020,804918.6,1016454.06875,7319.491898148148,7319.496527777777,7319.516898148148
1,1,2021,480228.98125,1193861.30625,7299.541666666667,7299.515277777778,7299.500694444444
1,1,2022,1145004.95625,823477.10625,7299.512962962963,7299.51087962963,7299.507175925926
1,1,2023,648417.08125,1172872.2,7299.522222222222,7299.522916666667,7299.511111111111
1,1,2024,1066527.5,758539.9875,7319.5581018518515,7319.5048611111115,7319.502546296297
1,1,2025,618987.4875,1055104.9875,7299.488425925926,7299.532407407408,7299.540046296296
1,1,2026,985427.575,835859.51875,7299.488194444444,7299.498379629629,7299.520833333333
1,1,2027,545281.25,1276007.24375,7299.517592592592,7299.495833333333,7299.528935185185
1,1,2028,1081932.9875,890330.69375,7319.500462962963,7319.50625,7319.508333333333
1,1,2029,970929.39375,850358.75,7299.532175925926,7299.504166666667,7299.531481481482
1,1,2030,986237.71875,835049.55,7299.493981481482,7299.528935185185,7299.519444444444
1,1,2031,992350.1375,828938.75,7299.499537037037,7299.514583333334,7299.476388888889
1,1,2032,680416.25,1144650.40625,7319.533333333334,7319.512037037037,7319.490509259259
1,1,2033,762745.2625,911346.03125,7299.5150462962965,7299.5256944444445,7299.506481481481
1,1,2034,1291011.39375,530275.74375,7299.501157407408,7299.509722222222,7299.512731481482
1,1,2035,908326.5125,1060156.20625,7299.513657407408,7299.513888888889,7299.478009259259
1,1,2036,1212101.09375,760163.4625,7319.511574074074,7319.533101851852,7319.491898148148
2,2,2017,579433.4625,645643.925,7279.512268518519,7279.503935185186,7279.553935185185
2,2,2018,842873.69375,831218.2125,7299.525231481482,7299.525,7299.4944444444445
2,2,2019,1374084.6375,447202.41250000003,7299.516666666666,7299.513425925926,7299.512731481482
