run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,2523950.0,0.0,714365.8611111111,0,752232,3990547.861111111
1,1,2018,2523950.0,0.0,557574.6437499999,0,1735630,4817154.64375
1,1,2019,2523950.0,0.0,21898.73611111111,0,100241,2646089.736111111
1,1,2020,2530864.9315068494,0.0,804390.6439814814,0,1283343,4618598.575488331
1,1,2021,2523950.0,0.0,509314.92847222224,0,1441275,4474539.928472223
1,1,2022,2523950.0,0.0,591536.4858796296,0,1367829,4483315.48587963
1,1,2023,2523950.0,0.0,726665.1587962963,0,1200977,4451592.158796296
1,1,2024,2530864.9315068494,0.0,1378799.205324074,0,2191085,6100749.136830923
1,1,2025,2523950.0,0.0,785970.3212962963,0,1085169,4395089.321296296
1,1,2026,2523950.0,0.0,889209.0138888889,0,627794,4040953.013888889
1,1,2027,2523950.0,0.0,473242.14074074075,0,1753601,4750793.140740741
1,1,2028,2530864.9315068494,0.0,1193653.267824074,0,1886877,5611395.199330923
1,1,2029,2523950.0,0.0,276314.92662037036,0,610644,3410908.9266203702
1,1,2030,2523950.0,0.0,690886.5685185186,0,378645,3593481.5685185185
1,1,2031,2523950.0,0.0,279067.675462963,0,522738,3325755.675462963
1,1,2032,2530864.9315068494,0.0,546474.3701388888,0,1198543,4275882.301645738
1,1,2033,2523950.0,0.0,376019.4275462963,0,224212,3124181.4275462963
1,1,2034,2523950.0,0.0,523985.2636574074,0,266905,3314840.2636574074
1,1,2035,2523950.0,0.0,498584.38032407407,0,282783,3305317.380324074
1,1,2036,2530864.9315068494,0.0,297349.93726851855,0,567778,3395992.8687753677
2,2,2017,2523950.0,0.0,21838.610185185185,0,76369,2622157.610185185
2,2,2018,2523950.0,0.0,619510.9613425926,0,1309950,4453410.961342593
2,2,2019,2523950.0,0.0,860185.1458333334,0,1740280,5124415.145833334
2,2,2020,2530864.9315068494,0.0,910419.1192129629,0,1213721,4655005.0507198125
