run,random_seed,time_based_availability,production_based_availability
1,1,0.9662602669404518,0.9663090410520198
2,2,0.9656786162445813,0.9660880598994305
3,3,0.965813797627196,0.9659761672601622
4,4,0.9667530800821356,0.9673110781427066
5,5,0.9662166324435318,0.9656521855788073
6,6,0.9665436059776409,0.966249244174483
7,7,0.9656587953456537,0.9656377977793665
8,8,0.9662250456308464,0.9655590038000953
9,9,0.9659251654118184,0.9647417715003506
10,10,0.9654561658681269,0.9656379876197988
11,11,0.9641829226557153,0.963696007041285
12,12,0.9663315651380333,0.9663528249130039
13,13,0.9666496976956422,0.9658342125924991
14,14,0.9661210928587726,0.9663142813593567
15,15,0.9649612137805156,0.9653634802587303
16,16,0.9647650011407711,0.9653216137118295
17,17,0.9653268309377139,0.9639380281069362
18,18,0.9639338067533653,0.9638405024657619
19,19,0.9659415639972622,0.9659765749008773
20,20,0.9669778120009126,0.9656894903217903
21,21,0.9657483458818161,0.965632265630018
22,22,0.9647843942505133,0.9642807949853506
23,23,0.9656741957563313,0.9653050882975112
24,24,0.9651331850330823,0.96510945953463
25,25,0.9664744467259868,0.966154458885948
26,26,0.9665947980835045,0.9660146032970789
27,27,0.9644666894820899,0.9651293085220612
28,28,0.9666104836869724,0.9669442770866908
29,29,0.9662742413871778,0.9659410513249101
30,30,0.9657560460871549,0.964980814379055
31,31,0.9659750741501255,0.9658228662027383
32,32,0.9655154859685147,0.9654540386787155
33,33,0.9658875199634953,0.9662943910231571
34,34,0.9660315423226101,0.9659059371622434
35,35,0.9654210871549167,0.9655066001602586
36,36,0.9658113734884782,0.9664812282802803
37,37,0.9654950946840064,0.9659681346459815
38,38,0.965555983344741,0.9650333561673429
39,39,0.9665032511978097,0.966310649570051
40,40,0.9656560860141455,0.9652701891095258
41,41,0.9663372689938399,0.9660528161236006
42,42,0.965574378279717,0.9657537564903014
43,43,0.9643630219028063,0.9628903757291911
44,44,0.9658359000684462,0.9665311772242866
45,45,0.9656717716176135,0.9648858583889328
46,46,0.9653743155373032,0.9639518417647547
47,47,0.9653010209901893,0.9649865928422778
48,48,0.9659946098562628,0.9660684489066989
49,49,0.9659926135067306,0.9652963113024428
50,50,0.9660527891854894,0.9661460996413725
