run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,17055000.0,0.0,10877835.818685403,0,4346010,32278845.818685405
1,1,2018,17055000.0,0.0,12928326.669628862,0,6475927,36459253.66962886
1,1,2019,17055000.0,0.0,11231583.46474415,0,5088845,33375428.46474415
1,1,2020,17101726.02739726,0.0,10310191.960030805,0,5996237,33408154.987428065
1,1,2021,17055000.0,0.0,8261386.102155965,0,4749146,30065532.102155965
1,1,2022,17055000.0,0.0,11728256.695646707,0,4811784,33595040.6956467
1,1,2023,17055000.0,0.0,5912656.479721044,0,3341415,26309071.479721043
1,1,2024,17101726.02739726,0.0,6160257.058859438,0,3345400,26607383.086256698
1,1,2025,17055000.0,0.0,11999970.162844105,0,6354073,35409043.16284411
1,1,2026,17055000.0,0.0,19681854.484227378,0,10445634,47182488.484227374
2,2,2017,17055000.0,0.0,13620692.900073286,0,4842331,35518023.90007329
2,2,2018,17055000.0,0.0,6351128.819697381,0,4359758,27765886.81969738
2,2,2019,17055000.0,0.0,9824482.404271295,0,5123604,32003086.404271297
2,2,2020,17101726.02739726,0.0,12785861.829563696,0,10014885,39902472.85696095
2,2,2021,17055000.0,0.0,16374689.165595945,0,10269378,43699067.16559595
2,2,2022,17055000.0,0.0,10424481.28650484,0,4798304,32277785.286504842
2,2,2023,17055000.0,0.0,7012626.243550068,0,3861211,27928837.24355007
2,2,2024,17101726.02739726,0.0,6845830.643814617,0,3843046,27790602.671211876
2,2,2025,17055000.0,0.0,13573961.245954217,0,6544584,37173545.245954216
2,2,2026,17055000.0,0.0,14465339.521548351,0,5289438,36809777.52154835
3,3,2017,17055000.0,0.0,8371253.030600413,0,4579270,30005523.030600414
3,3,2018,17055000.0,0.0,13529664.213117434,0,5045873,35630537.213117436
3,3,2019,17055000.0,0.0,13386718.117615543,0,5353078,35794796.11761554
3,3,2020,17101726.02739726,0.0,12924300.649500035,0,5905476,35931502.676897295
3,3,2021,17055000.0,0.0,12561097.02165203,0,5169720,34785817.02165203
3,3,2022,17055000.0,0.0,15821088.556076229,0,11600033,44476121.55607623
3,3,2023,17055000.0,0.0,10265639.7115076,0,4265741,31586380.7115076
3,3,2024,17101726.02739726,0.0,6033484.827642528,0,5328800,28464010.85503979
3,3,2025,17055000.0,0.0,11167551.347279757,0,6236858,34459409.34727976
3,3,2026,17055000.0,0.0,13485783.268250413,0,4948894,35489677.26825041
4,4,2017,17055000.0,0.0,18149380.925471917,0,8549631,43754011.92547192
4,4,2018,17055000.0,0.0,21397735.232572522,0,7547674,46000409.232572526
4,4,2019,17055000.0,0.0,8289607.808157084,0,3544499,28889106.808157083
4,4,2020,17101726.02739726,0.0,12128040.490726637,0,3084419,32314185.518123895
4,4,2021,17055000.0,0.0,8395247.20670835,0,3387619,28837866.20670835
4,4,2022,17055000.0,0.0,15620259.09084406,0,7516455,40191714.09084406
4,4,2023,17055000.0,0.0,7339635.025984028,0,3337268,27731903.025984026
4,4,2024,17101726.02739726,0.0,11402777.641574936,0,4132961,32637464.668972194
4,4,2025,17055000.0,0.0,13642596.183037315,0,6930086,37627682.18303731
4,4,2026,17055000.0,0.0,18223948.597734626,0,9617538,44896486.59773463
5,5,2017,17055000.0,0.0,5750009.581191621,0,1587763,24392772.58119162
5,5,2018,17055000.0,0.0,8483682.935478609,0,6143269,31681951.93547861
5,5,2019,17055000.0,0.0,12798341.49744964,0,3780889,33634230.49744964
5,5,2020,17101726.02739726,0.0,8546053.016688483,0,6171406,31819185.04408574
5,5,2021,17055000.0,0.0,7575686.424545445,0,3513665,28144351.424545445
5,5,2022,17055000.0,0.0,11492430.956061717,0,6032770,34580200.95606172
5,5,2023,17055000.0,0.0,5827228.743705245,0,1697357,24579585.743705243
5,5,2024,17101726.02739726,0.0,11857163.666560479,0,6130552,35089441.69395774
