,Units,Atb3 3 Baseline Atb Mean,Atb3 3 Baseline Atb Std,Atb3 3 Design Atb Mean,Atb3 3 Design Atb Std,Atb3 3 Miba-Case-0 Mean,Atb3 3 Miba-Case-0 Std,Atb3 3 Miba-Case-1 Mean,Atb3 3 Miba-Case-1 Std,Atb3 3 Miba-Case-2 Mean,Atb3 3 Miba-Case-2 Std,Atb3 3 Miba-Case-2B Mean,Atb3 3 Miba-Case-2B Std,Atb3 3 Miba-Case-3 Mean,Atb3 3 Miba-Case-3 Std
Project Capacity,MW,201.300,-,201.300,-,201.300,-,201.300,-,201.300,-,201.300,-,201.300,-
Avg Time Based Availability,%,95.717,0.314,95.813,0.236,96.064,0.034,96.052,0.052,96.054,0.059,96.038,0.052,96.054,0.043
Avg Production Based Availability,%,91.243,0.483,91.347,0.341,91.585,0.355,91.639,0.290,91.613,0.371,91.615,0.364,91.605,0.363
Operations,$ / kW-yr,25.376,0.029,25.376,0.029,25.376,0.029,25.376,0.029,25.376,0.029,25.376,0.029,25.376,0.029
Port Fees,$ / kW-yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total Labor Cost,$ / kW-yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Materials Cost,$ / kW-yr,7.243,1.392,7.171,1.363,6.085,1.351,6.142,1.345,6.262,1.320,6.280,1.404,6.708,2.832
Equipment Cost,$ / kW-yr,10.010,2.699,9.329,2.189,8.191,0.543,8.191,0.567,8.320,0.853,8.593,1.422,8.315,0.871
  - Large Crane 1,$ / kW-yr,5.979,0.789,5.958,0.805,5.946,0.815,5.969,0.790,5.879,0.810,5.881,0.839,5.874,0.825
  - Large Crane 2,$ / kW-yr,2.112,1.037,2.123,1.006,2.136,1.057,2.114,1.029,2.219,1.014,2.204,1.043,2.216,1.039
  - Large Crane For Mb,$ / kW-yr,1.810,2.614,1.138,2.141,-,-,-,-,0.189,0.877,0.433,1.381,0.193,0.872
  - Truck 1,$ / kW-yr,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000
  - Truck 2,$ / kW-yr,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000
  - Truck 3,$ / kW-yr,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000,0.036,0.000
Opex Total,$ / kW-yr,42.629,3.282,41.876,2.830,39.653,1.649,39.710,1.660,39.957,1.751,40.249,2.268,40.399,3.129
