windspeed_ms,power_kw
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,138
3.5,173
3.75,223
4,286
4.25,358
4.5,440
4.75,529
5,623
5.25,722
5.5,827
5.75,941
6,1069
6.25,1211
6.5,1367
6.75,1535
7,1715
7.25,1903
7.5,2096
7.75,2290
8,2482
8.25,2666
8.5,2835
8.75,2979
9,3088
9.25,3159
9.5,3198
9.75,3219
10,3232
10.25,3247
10.5,3265
10.75,3282
11,3294
11.25,3301
11.5,3303
11.75,3302
12,3300
12.25,3299
12.5,3299
12.75,3299
13,3300
13.25,3300
13.5,3300
13.75,3300
14,3300
14.25,3300
14.5,3300
14.75,3300
15,3300
15.25,3300
15.5,3300
15.75,3300
16,3300
16.25,3300
16.5,3300
16.75,3300
17,3300
17.25,3300
17.5,3300
17.75,3300
18,3300
18.25,3300
18.5,3300
18.75,3300
19,3300
19.25,3300
19.5,3300
19.75,3300
20,3300
20.25,3300
20.5,3300
20.75,3300
21,3300
21.25,3300
21.5,3300
21.75,3300
22,3300
22.25,3300
22.5,3300
22.75,3300
23,3300
23.25,3300
23.5,3300
23.75,3300
24,3300
24.25,3300
24.5,3300
24.75,3300
25,3300
