run,random_seed,year,Large Crane 1,Large Crane 2,Truck 1,Truck 2,Truck 3
1,1,2017,272399.9,420127.33125,7279.548611111111,7279.540046296296,7279.541203703703
1,1,2018,263039.4125,272636.5,7299.568981481481,7299.590509259259,7299.571759259259
1,1,2019,0.0,0.0,7299.582638888889,7299.576388888889,7299.577083333334
1,1,2020,563235.7875,219196.1375,7319.558564814814,7319.569444444444,7319.590972222222
1,1,2021,239242.86875,248173.3375,7299.586805555556,7299.575462962963,7299.559953703703
1,1,2022,316827.01875,252810.75,7299.566435185185,7299.573379629629,7299.577314814815
1,1,2023,327301.46875,377465.0,7299.572685185185,7299.5675925925925,7299.549768518518
1,1,2024,777755.075,579085.49375,7319.552083333333,7319.532175925926,7319.552314814815
1,1,2025,320797.6375,443274.05625,7299.546064814815,7299.5365740740735,7299.544907407408
1,1,2026,252845.09375,614465.24375,7299.571296296296,7299.549305555555,7299.555787037037
1,1,2027,409763.48125,41580.0,7299.568518518518,7299.539583333333,7299.551388888889
1,1,2028,474175.88125,697518.75625,7319.543055555555,7319.549537037037,7319.537731481481
1,1,2029,0.0,254416.2875,7299.568749999999,7299.532175925926,7299.538194444444
1,1,2030,385442.6375,283545.25625,7299.565509259259,7299.563425925926,7299.545833333334
1,1,2031,257169.0375,0.0,7299.537962962962,7299.545370370371,7299.55462962963
1,1,2032,238909.0125,285606.66875,7319.580324074074,7319.566666666667,7319.541898148148
1,1,2033,0.0,354120.7875,7299.556481481482,7299.535185185185,7299.548379629629
1,1,2034,222943.2375,279143.35,7299.555787037037,7299.552777777778,7299.5675925925925
1,1,2035,249054.68125,227631.05,7299.55162037037,7299.539583333333,7299.55787037037
1,1,2036,275391.2625,0.0,7319.561805555555,7319.566203703704,7319.5467592592595
2,2,2017,0.0,0.0,7279.528703703703,7279.543518518518,7279.537962962962
2,2,2018,311671.65,285940.6125,7299.565972222222,7299.572453703704,7299.560416666666
2,2,2019,593853.0,244433.4125,7299.568749999999,7299.582175925926,7299.582407407407
2,2,2020,233818.525,654641.875,7319.586574074074,7319.5569444444445,7319.575694444445
2,2,2021,270865.5875,41580.0,7299.569907407407,7299.562037037037,7299.564583333333
2,2,2022,262309.96875,351818.70625,7299.571527777777,7299.5368055555555,7299.558564814814
2,2,2023,219741.21875,516721.70625,7299.555555555556,7299.5675925925925,7299.552314814815
2,2,2024,234141.70625,34020.0,7319.542592592592,7319.5467592592595,7319.552546296296
2,2,2025,0.0,230987.94375,7299.543287037037,7299.551157407407,7299.544907407408
2,2,2026,0.0,0.0,7299.552314814815,7299.584027777778,7299.537962962962
2,2,2027,222047.19375,0.0,7299.550925925926,7299.564351851852,7299.561574074074
2,2,2028,341979.55,347683.0625,7319.544675925926,7319.548842592592,7319.554398148148
2,2,2029,41580.0,504412.93125,7299.554861111111,7299.5569444444445,7299.5256944444445
2,2,2030,233900.81875,342772.69375,7299.552546296296,7299.58287037037,7299.529398148148
2,2,2031,615973.35,253883.5875,7299.551157407407,7299.544907407408,7299.544907407408
2,2,2032,0.0,0.0,7319.538194444444,7319.546527777778,7319.55462962963
2,2,2033,0.0,450309.31875,7299.5569444444445,7299.553240740741,7299.530324074074
2,2,2034,612601.31875,604297.39375,7299.540046296296,7299.522916666667,7299.537268518518
2,2,2035,241678.125,0.0,7299.530324074074,7299.560648148148,7299.5574074074075
2,2,2036,0.0,0.0,7319.544907407408,7319.581944444444,7319.545138888889
3,3,2017,0.0,0.0,7279.551157407407,7279.53287037037,7279.562962962963
3,3,2018,446605.375,257526.825,7299.561111111111,7299.570833333333,7299.571296296296
3,3,2019,41580.0,238687.4625,7299.571759259259,7299.576157407408,7299.583101851852
3,3,2020,332228.375,282924.18125,7319.584722222222,7319.562037037037,7319.5893518518515
3,3,2021,276927.63125,244190.5125,7299.594907407407,7299.577314814815,7299.582175925926
3,3,2022,330996.2875,0.0,7299.5675925925925,7299.596990740741,7299.559259259259
3,3,2023,288364.05625,268703.24375,7299.538657407407,7299.562037037037,7299.559722222222
3,3,2024,432253.78125,481900.55625,7319.542824074074,7319.5467592592595,7319.531944444444
3,3,2025,315518.4125,41580.0,7299.560185185185,7299.533796296296,7299.53912037037
3,3,2026,319298.85,318143.28125,7299.559953703703,7299.574305555556,7299.547916666666
3,3,2027,0.0,362564.625,7299.554166666667,7299.554398148148,7299.552083333333
3,3,2028,569470.38125,492381.04375,7319.5467592592595,7319.580324074074,7319.559722222222
3,3,2029,263592.5,0.0,7299.550462962963,7299.559953703703,7299.55462962963
3,3,2030,251457.95625,218650.96875,7299.567361111111,7299.531712962963,7299.5576388888885
3,3,2031,0.0,0.0,7299.569907407407,7299.560185185185,7299.552546296296
3,3,2032,286373.16875,325281.53125,7319.549537037037,7319.5462962962965,7319.5363425925925
3,3,2033,238755.75625,249565.24375,7299.537962962962,7299.565972222222,7299.562962962963
