run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,1059000.0,0.0,793165.012037037,0,381371,2233536.012037037
1,1,2018,1059000.0,0.0,464058.9523148148,0,371383,1894441.9523148148
1,1,2019,1059000.0,0.0,736633.2414351852,0,383169,2178802.241435185
1,1,2020,1061901.3698630137,0.0,717447.9604166667,0,367540,2146889.3302796804
1,1,2021,1059000.0,0.0,550050.2743055556,0,632646,2241696.2743055555
1,1,2022,1059000.0,0.0,798333.6222222223,0,413065,2270398.6222222224
1,1,2023,1059000.0,0.0,859883.1849537037,0,692425,2611308.1849537035
1,1,2024,1061901.3698630137,0.0,803294.4416666667,0,421386,2286581.81152968
1,1,2025,1059000.0,0.0,1054251.0111111111,0,452971,2566222.0111111114
1,1,2026,1059000.0,0.0,1048466.5208333334,0,555675,2663141.5208333335
1,1,2027,1059000.0,0.0,1009420.3354166667,0,670957,2739377.3354166667
1,1,2028,1061901.3698630137,0.0,1251579.2083333333,0,570778,2884258.5781963468
1,1,2029,1059000.0,0.0,580438.2708333334,0,250926,1890364.2708333335
1,1,2030,1059000.0,0.0,523782.6268518519,0,489343,2072125.6268518518
1,1,2031,1059000.0,0.0,505245.06666666665,0,399149,1963394.0666666667
1,1,2032,1061901.3698630137,0.0,689689.8277777778,0,478130,2229721.1976407915
1,1,2033,1059000.0,0.0,577608.4909722222,0,264549,1901157.4909722223
1,1,2034,1059000.0,0.0,685205.3988425926,0,289185,2033390.3988425927
1,1,2035,1059000.0,0.0,292998.19814814813,0,205148,1557146.1981481481
1,1,2036,1061901.3698630137,0.0,455069.5569444445,0,485160,2002130.9268074583
2,2,2017,1059000.0,0.0,21838.542592592592,0,31455,1112293.5425925925
2,2,2018,1059000.0,0.0,557613.8509259259,0,367064,1983677.850925926
2,2,2019,1059000.0,0.0,730876.0682870371,0,483459,2273335.0682870373
2,2,2020,1061901.3698630137,0.0,776607.8215277778,0,534651,2373160.1913907914
2,2,2021,1059000.0,0.0,787166.7150462964,0,510855,2357021.7150462964
2,2,2022,1059000.0,0.0,798130.5525462963,0,532264,2389394.5525462963
2,2,2023,1059000.0,0.0,715178.6731481481,0,382917,2157095.673148148
2,2,2024,1061901.3698630137,0.0,959668.6245370371,0,790271,2811840.994400051
2,2,2025,1059000.0,0.0,1407524.5770833334,0,940313,3406837.5770833334
2,2,2026,1059000.0,0.0,442277.68055555556,0,329480,1830757.6805555555
2,2,2027,1059000.0,0.0,519648.61712962965,0,391586,1970234.6171296297
2,2,2028,1061901.3698630137,0.0,623549.7777777778,0,527947,2213398.1476407917
2,2,2029,1059000.0,0.0,481248.5074074074,0,223351,1763599.5074074073
2,2,2030,1059000.0,0.0,717259.6041666666,0,367632,2143891.6041666665
2,2,2031,1059000.0,0.0,851064.5247685185,0,720155,2630219.5247685183
2,2,2032,1061901.3698630137,0.0,248890.6925925926,0,188464,1499256.0624556064
2,2,2033,1059000.0,0.0,745661.8388888888,0,527512,2332173.8388888887
2,2,2034,1059000.0,0.0,753321.4773148148,0,157583,1969904.477314815
2,2,2035,1059000.0,0.0,518778.8835648148,0,232965,1810743.883564815
2,2,2036,1061901.3698630137,0.0,540402.6824074074,0,432218,2034522.0522704213
3,3,2017,1059000.0,0.0,248665.29328703706,0,199364,1507029.293287037
3,3,2018,1059000.0,0.0,705556.4143518518,0,501296,2265852.4143518517
3,3,2019,1059000.0,0.0,259484.56412037037,0,94642,1413126.5641203704
3,3,2020,1061901.3698630137,0.0,562654.075,0,494860,2119415.444863014
3,3,2021,1059000.0,0.0,747151.1138888889,0,578895,2385046.1138888886
3,3,2022,1059000.0,0.0,495994.4849537037,0,394930,1949924.4849537038
3,3,2023,1059000.0,0.0,1114953.099074074,0,341622,2515575.099074074
3,3,2024,1061901.3698630137,0.0,988726.6407407408,0,525403,2576031.010603755
3,3,2025,1059000.0,0.0,480040.1861111111,0,360018,1899058.1861111112
3,3,2026,1059000.0,0.0,1421511.99375,0,865700,3346211.99375
3,3,2027,1059000.0,0.0,235812.18125000002,0,190739,1485551.18125
3,3,2028,1061901.3698630137,0.0,705014.9400462963,0,368693,2135609.30990931
