windspeed_ms,power_kw
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,128.27
3.5,179.78
3.75,239.37
4,308.05
4.25,384.81
4.5,472.68
4.75,566.256
5,673.684
5.25,792.156
5.5,922.676
5.75,1065.244
6,1220.864
6.25,1390.54
6.5,1573.268
6.75,1772.06
7,1984.908
7.25,2213.82
7.5,2459.8
7.75,2721.844
8,2995.98
8.25,3293.574
8.5,3609.204
8.75,3944.874
9,4299.582
9.25,4674.33
9.5,5070.12
9.75,5487.954
10,5500
10.25,5500
10.5,5500
10.75,5500
11,5500
11.25,5500
11.5,5500
11.75,5500
12,5500
12.25,5500
12.5,5500
12.75,5500
13,5500
13.25,5500
13.5,5500
13.75,5500
14,5500
14.25,5500
14.5,5500
14.75,5500
15,5500
15.25,5500
15.5,5500
15.75,5500
16,5500
16.25,5500
16.5,5500
16.75,5500
17,5500
17.25,5500
17.5,5500
17.75,5500
18,5500
18.25,5500
18.5,5500
18.75,5500
19,5500
19.25,5500
19.5,5500
19.75,5500
20,5500
20.25,5500
20.5,5500
20.75,5500
21,5500
21.25,5500
21.5,5500
21.75,5500
22,5500
22.25,5500
22.5,5500
22.75,5500
23,5500
23.25,5500
23.5,5500
23.75,5500
24,5500
24.25,5500
24.5,5500
24.75,5500
25,5500
25.25,0
