windspeed_ms,power_kw
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,21.32
3.75,33.51
4,45.69
4.25,65.21
4.5,79.83
4.75,104.25
5,128.66
5.25,157.97
5.5,187.27
5.75,216.58
6,250.78
6.25,292.32
6.5,333.85
6.75,375.4
7,426.72
7.25,475.6
7.5,534.27
7.75,597.81
8,656.49
8.25,724.94
8.5,798.29
8.75,871.63
9,940.08
9.25,1010
9.5,1060
9.75,1130
10,1190
10.25,1240
10.5,1290
10.75,1330
11,1370
11.25,1390
11.5,1410
11.75,1430
12,1440
12.25,1460
12.5,1470
12.75,1475
13,1480
13.25,1485
13.5,1490
13.75,1495
14,1500
14.25,1500
14.5,1500
14.75,1500
15,1500
15.25,1500
15.5,1500
15.75,1500
16,1500
16.25,1500
16.5,1500
16.75,1500
17,1500
17.25,1500
17.5,1500
17.75,1500
18,1500
18.25,1500
18.5,1500
18.75,1500
19,1500
19.25,1500
19.5,1500
19.75,1500
20,1500
20.25,1500
20.5,1500
20.75,1500
21,1500
21.25,1500
21.5,1500
21.75,1500
22,1500
22.25,1500
22.5,1500
22.75,1500
23,1500
23.25,1500
23.5,1500
23.75,1500
24,1500
24.25,1500
24.5,1500
24.75,1500
25,1500
25.25,0
